label,tweet
fear,@Gerindra Mau dosa tapi takut ketawa:(
anticipation,Mulai tggal berapa ya
sadness,"Kelaperan di stasiun. Beli paket es teh + Roti'O dan duduk sambil nyruput es teh, padahal di sebelah ada org2 pada sholat. Aku merasa seperti syaitonirojim "
sadness,Aplikasi facebook nya kok jadi berat ya
anger,Orde baru? Sama aja kyk mimpi buruk!!!
joy,"Para Aktris Di 'Black Panther' Curi Perhatian, Ryan Coogler Berencana Buatkan Spin-Off"
fear,kalian pernah ngga sih ngerasain gmn rasanya deg degan nerima sms pemberitahuan kuota tinggal 7mb sementara kalian lg asik-asiknya tlponan dan harus keluar cari kuota lg supaya bisa lanjut ngobrol.
disgust,"@myXLCare ini layanan dangdut plus apaan sih, gapernah pake tapi mau dimatik  gapernah bisa ck"
anger,Emosi gw mentionan sama sheungwanie.
anger,"Org kaya/terkenal lagi makan di warung malah digratisin, org biasa/miskin malah disuruh bayar Gimana gak yg kaya makin kaya yg miskin makin miskin -_-"
anticipation,"Politisasi May Day, PPP dan NasDem: Jangan Peralat Kaum Pekerja"
trust,@Gerindra Saya melihat ada suara masyarakat seolah menempatkan Pak Prabowo pantas di posisi Cawapres dan Pemimpin d…
sadness,Mahallllll
disgust,Hai pemerintah jawa tengah knp hanya diam aja.\nBanyak daerah lain di pemerintahan menyempatkan waktu sedikit untuk mendukung pesertanya yg  akan mengharumkan nama daerahnya. Knp jawa tengah solo gk ada ya?\nSaya dari gorontalo dukung Nisa solo perwakilan kalian knp kalian diam.
trust,Optimis pasti bisa mengalahkan pesemis. Qoidah nya sama kaya al yaqinu layuzalu bisyaq\n#MilenialOptimis…
anticipation,"min mau tanya fb suami saya tidak bisa dibuka karna lupa pasword dan email yg dahulu gak bisa diakses katanya dulu itu gk ada verivikasi ke email tersebut apa bisa di pulihkan lagi ya , terimakasih"
joy,Sok debat na cing ciamik kang \n@ridwankamil #RinduJabarJuara1
joy,"Selamat hari lahir untuk @gp_ansornu , semoga semakin terdepan dalam mengawal negeri. #JokowiSepisanManing…"
anger,"[USERNAME] [USERNAME] Hadeuh ribut aja soal Islam Nusantara ( = INDONESIA ) !! kan menurut mereka dikenal ramah oleh dunia luar gitu lho, istilah zmn now masa kagak ngerti cui ... Wlupun kenyataannya suka berlku tak adil pd yg mnritas di neg. ini, sadar nggak"
sadness,"Min tlg dong di respon keluhan saya, aku udh berulang kali kirim laporan tentang permasalahan ini tp ko ga ada respon sm skali, udh brp bln ini aku tidak bs siaran langsung di sini lantaran di block, kan nyebelin aku nya jd ga bs nge vlog moment2 yg seru utk di share atau posting, tlg dong secepatnya di respon keluhan ku ini ☹"
anticipation,"Jenis kulit wajahmu mudah kering? Tenang saja, clay mask berikut berfungsi untuk menghidrasi kulitmu! Simak rekomendasinya, yuk."
trust,Update dengan koleksi terbaru dari 3Second untuk kamu yang ingin tampil lebih stylish. \n\nT-shirt : 184.500 :)
trust,semakin ada orang yang nyinyir. insyaAllah  semakin \ntermotivasi  unuk lebih dekat dgn ALLAH.  hanya pertolongan  ALLAH  yang bisa mengalahkan  segalanya.  contoh pilkada Dki
anger,"pelit gk dpt skin, skin ayam dapet terus"
sadness,"Percaya kata lelaki itu, terutama ketika aku ingin mati karena disiksa zaman. Tapi karena kematian tak kunjung tiba, aku melupakanNya. Tuhan menjauh, dan aku pun menjauhiNya. Aku tidak tahu, apa iya masih penting sejak kulupa."
joy,@Rommy_Daily @MRomahurmuziy @DPP_PPP Smoga sehat selalu semangsaat gus
anger,[USERNAME] Buka rekening baru di mandiri ribet harus ada no tlp rumah or kantor? Terus klo pekerja di pasar ga bisa nabung di mandiri donk??
sadness,tapi pas saya dateng ke counter texas kata mbak yg jaganya gak ada promo beli 2 french fries 10 ribu\n\n:P
anger,"Menurut saya prof, koruptor itu sama saja dng membunuh generasi anak cucu secara perlahan2 prof... Saya setuju jika para koruptor kelas kakap di hukum mati dan di miskin kan... [URL]"
joy,Telak! Pengacara Setya Novanto Bersiap Beberkan Borok KPK
trust,Pengen Seperti Ibu Susi
trust,Termasuk para petinggi elite politik kita hrs satu suara memajukan negeri kita dan mengesampingkan ego2 dan sadar korupsi itu dpt merugikan negara maupun rakyat secara tdk langsung.....
sadness,"Sudah dua hari ini makan tak enak, tidur pun tak nyenyak. Kegelisahan ini gue tuliskan. Alhamdulillah [USERNAME] mau menampung keresahan umat. Aksi Bela Via Vallen dan Pesan Seorang Jakmania Kepada Abang Simic [URL]"
fear,Facebook saya keblokir dan harus konfirmasi lewat no tlp flexi.. Laa nmrnya sudah gk ada gimana yaa solusinya...
anticipation,Ini promo sampek kapan??
fear,"[USERNAME] ""Itu menurutmu, tapi menurutku ini menyeramkan, kamu kalo terjadi apa apa disini karna ulah monster itu"" Gerutunya dengan kesal Ariel tidak mau melihat ke sekitarnya, ia hanya nunduk melihat jalan bebatuan yang ada di depannya, dia takut un"
sadness,"E btw ya, tumblr bener2 di blokir bwt indo yak :( Setelah berbulan-bulan, akhir nya app nya beneran kaga bisa di buka Ngiteeeerr mulu itu"
sadness,".Hi Admin Bagai mana membalikkN Pesan Arsip trs Trabaikan karn tdak Sngaja Trpencet,Saya bingung admin Ap bsa dibalik kn Soal nya ktika DiTulis Dipencariannya jga tdk bsa Infonya admin ya Tolong"
trust,"Bisakah ibu mengupayakan Perahu Lampu lengkap dan bersubsidi serta bisa dikredit dgn angsuran 1jt/bulan dan UM/DP 1jt?\nKayak kreditan motor..\nSoalnya negeri ini sudah mengarah ke negeri ojek...\nKalau bisa, saya yakin.. anak muda yg gak bisa lanjut sekolah tinggi.. akan milih kredit perahu lampu jadi nelayan daripada kredit motor buat ngojek.."
anger,"@detikcom Jelas sy pendukung @prabowo sangat kecewa, kami berharap lebih dari apa yg Jokowi bisa lakukan !"
fear,"[USERNAME] Wkwkwk laah aku yg masi menata hati dan menata diri stlh menjombs, & uda nyaman jombs, malah dikenalin ama masnya, ku merasa blm pantas & takut pelarian lg, entah pelarianku yg masi blm moveon dari mantan (cowo idamanku), entah pelaria"
anger,"Min pesananku kok blm dikirim sih ? Dikemas terus dari tgl 20, kpn sampainya ? Sbntr lg mau mudik min ...tlg dicek dong...sy br pertama blnja disini jgn buat sy kapok donk...."
sadness,@ganjarpranowo @EnthusSusmono innalilahi wainaillaihi roji'un...semoga Khusnul khotimah...
disgust,@psi_id Loe ga sadar bhw Manusia2 sejenis @grace_nat ketum PSI bnyk di untungkan n di besarkan di era orba.... #HaramPilih PSI
trust,"@wr200465 @Owaala @SBYudhoyono Tidak ada tandingannya, ya aku sih #2019TetapJokowi"
trust,Idrus Marham: Setya Novanto Mangkir Atas Saran Pengacara
anger,[USERNAME] grapari btc bandung ditulis buka 10:00 - 21:00 tapi barusan saya mau ganti simcard ke nano sim ditolak. Alasan sudah prepare tutup. Profesional ya ? [USERNAME]
anger,"@IndoPluralitas @prabowo @Gerindra Nah loh,,,,\nKatanya mau bela kaum buruh? tpi mengapa ada yg sampe 4thn ga di bayar gajinya???"
trust,"@adv_supyadi @AdvokatBS @Yusrilihza_Mhd @habiburokhman Pak, bisakah saya melakukan JR ke MK terkait aturan BPJS ini…"
fear,"Maka yang dilakukan papa adalah dudum diruang tamu, dan menunggumu pulang dengan hati yang sangat khawatir Dan setelah perasaab khawatir itu berlarut-larut. Ketika melihat putri kecilnya pulang larut malah hati papa akan mengeras dan papa memarahimu."
anger,@hafidgaban @PDAMKotaSMG @hendrarprihadi @ganjarpranowo @P3Mkotasmg Hahaha banyak yg dirugikan @PDAMKotaSMG…
anger,[USERNAME] Jasa pengiriman sangat tidak profesional!! Sampe kapanpun gak akan pake jasa pengiriman ini lagi.... menanggapi pengaduan lama! Awas aja paket sy yg nyasar krn petugas anda salah input sampe ilang berarti su Viralkan!
joy,"Yuk, buang dendam sebarkan maaf. \nCiptakan kawan bukan lawan.\nUbah benci jadi cinta. \nTunjukkan peduli jauhkan kepentingan sendiri.\nHidup Positif Bersama Levi’s®.\n\n#LiveInLevis"
joy,Lucuuuu keren maskot #AsianGamesKita @golkar @PartaiHANURA @PKSejahtera
joy,"@kangderu @msi_sohibuliman Siapapun yg menang di jatim baik pasangan Gus Ipul - Puti, maupun Khofifah -Emil Dardak.…"
anticipation,Maaf mau nanya kenapa saya gak bisa.kirim pesan fb ke orang lain ya malah ijin ditolak
anger,[USERNAME] [USERNAME] good job. Jadwal kereta arah bogor sangat berantakan. Harusnya ga seperti ini di jam segini. [URL]
trust,Facebook merupakan layanan gratis bagi semua orang. Setiap pengguna Facebook dapat mengendalikan informasi di akun Facebook mereka sendiri.
trust,@Yusrilihza_Mhd kadang kita suka membicarakan yg kita kita sendiri tdk tahu
sadness,Mati lampu dirumah uda ky kuat2an ga keluar kamar buat nyalain saklar wq. Sumuk. Tapi aseli demi liga la familia-yg-ga-betah-panas-kudu-turun-nyalain-saklar-gelap2an.
fear,"4. Takut Takut, nanti kalo diputusin gimana? Kalo diselingkuhin gimana? Kalo diporotin gimana? Kalo malah diajak ke KUA gimana? Gimanaaa? GIMANAA??! Ya pokok nya banyak lah ketakutan ketakutan lainnya."
anger,"\Biarin jokowi nafsu ingin dua periode, prabowo nafsu pengen nyapres dua periode. Kita sebagai wong cilik jangan ik…"
fear,"Sedang santap sahur sambil menyimak ceramah di tv. Tiba-tiba muncul bunyi: ""Hati-hati, Yon. *** itu syiah."" Seketika itt sahur jadi hilang selera"
anger,"Dah dua tahun doi jd spv jd dah biasa w tidur sendiri doi pulang subuh, paginy w kerja dia tidur, w plg dia udah brgkt. Pdhl serumah kdg 3 hari baru ketemu Gitu kok ya ada yg ngatain w posesif gabisa ditinggal, pgn w makan jd lauk samyang"
joy,"Ruhut Sitompul: Jokowi Janji Buka 10 Juta Lapangan Kerja Baru, Tahun Ketiga Hampir 12 Juta Ini Fakta"
joy,Pengacara Setya Novanto Siapkan Bukti Bongkar Borok KPK
joy,"Prabowo Tanggapi Serangan Bom Bunuh Diri di 3 Gereja Surabaya, Gini Katanya"
trust,@fadlizon @RismiatyR @Gerindra @prabowo Tak salah tuh Zon. Tun Mahatir menang krn 1) lawannya Najib beraroma Korups…
joy,@PERSIPURA_ @RahmayadiEdy @PSSI Yuk buruan gabung di : Bandar Judi \nOnline yang Aman dan Te…
trust,"sambil nunggu buka puasa, biasanya saya membaca cerita kisah-kisah nabi dan rasul dulu dari PC #WirelessByLogitech"
joy,@AnnaSuezann @HadiPra20089918 @jokowi @prabowo Udah move on dari ini?
trust,"@fadlizon Kalau cuma 2 poros, sy yakin jokowi bisa dikalahkan. Kalau muncul poros ke 3 suara #2019GantiPresiden bis…"
anger,"semua nya ngak boleh!!,kembali aja kezaman BATU."
fear,penularan secara vertikal ada 95%. waduh serem banget ya....makanya disarankan ibu hamil harus terus menjaga bayinya dan secara horizontal ada 5%
sadness,Akun lama aku yg di hack orang bisa di balikin lagi gk tolong dong tolong ya balikin
sadness,"Makin dewasa kamu, semakin malas kamu dengan hal-hal yang terlalu banyak drama. Pertemanan penuh drama, hubungan asmara penuh drama. Sebab kamu tahu, pekerjaanmu lebih penting dari pada semua drama-drama melelahkan itu. *Boycandra"
anticipation,Di medan berlaku gan
sadness,kaan ke mojokerto lagi
trust,Tetap berjuang sampai titik darah penghabisan
joy,Wow enak banget
anticipation,Mesti diusut sampai tuntas @MRF_Info @MustafaJajuli @herman_sutono @SrikandiLampung @MustafaJajuli…
anger,"Baru kali ini pemakaian fasilitas laboratorium dikampus sendiri bayar, kalo begitu uang yang dibayarkan tiap semster apa tidak termasuk?? Di doain yang buruk apa yang baik nih"
trust,Walau @KPU_Jateng tdk pernah mewaspadai hal2 spt ini tp kami tetap yakin bhw #GanjarYasin tetap menang.\n\nLaporan ke…
anger,[USERNAME] .... Kamu yg otak brengsek.... Dasar bodoh..... Di negara2 maju tol menjadi andalan utama..... Tidak ada negara maju yg tanpa tol..... Hanya Negara terkebelakang yg tdk punya tol....negara terkebelakang punya TOLol.... !!!
sadness,Dan nga masuk rekomendasi ulama versi pak [USERNAME] tapi kita biasa aja .. malah enak nonton langsung rausah rekomendasi rekomendasian .. jadwal padat setahun . Ngundang sekarang buat tahun depan [URL]
trust,"Udh 5 thn terakhir ini g pernah buka puasa di mal. Yg bikin males,antrenya itu panjang banget, penuh, n g bs sholat maghrib"
joy,Sy sudah dapat 3 buah Neon mug nya
trust,"TANPA ADMIN AWAL TIDAK ADA POTONGAN APA PUN\nPINJAMAN Bank BTPN seluruh indonesia\nMau cari pinjaman buat beli ruko atau investasi usaha...???\nMau cari pinjaman buat menambah modal usaha...???\nBiaya anak sekolah dll\nMau cari pinjaman dengan syarat yg mudah, proses cepat n bunga kompetitif...???\nBTPN WOW\nSolusinya...\nMemberikan pinjaman khusus pedagang/pengusaha karyawan dll mikro area sluruh indonesia dari 5 juta hingga 100 jt\nInfo lebih lanjut bisa add fb saya\nsyrat\n1. photo ktp\n2. photo kk\n3. photo buku rek bagian depan\n4. photo rek listrik\n5. proses cepat tanpa surve\n6 Buka Tabungan on line wow jenius btpn Rp. 75.000 langsung bisa di gunakan\n7 No Hp untuk registrasi tabungan BTPN\nNB :\n- Tidak dipungut biaya apapun \nBTPN wow WOW\nDimana dan kapanpun kami hadir untuk anda"
anger,[USERNAME] [USERNAME] .... Anda ini ngomong apa....?? Hanya orang2 brengsek yg ngomong kayak gini..... Lembaga terhormat jadi terhina karena disusupi orang yg kayak anda... [USERNAME]
sadness,Berita itu Hoax..
fear,"bangun tidur bgt cek handphone dapet pergantian schedule klo besok harus tugas terbang ke china. langsung meleeekk, huaaa kok baru ini gue takut mau tugas terbang"
trust,"@kangmeirza @Aryprasetyo85 @SBYudhoyono Dicoba sj pak diwujudkan, segera daftar jd calon...biar yakin dan tau mau rakyat yg sebenarnya"
sadness,@iwanfals @jokowi @prabowo @RamliRizal @SBYudhoyono @jokowi Sementara Indonesia sampai skrg blm punya PLT Sekam Pad…
sadness,@Yusrilihza_Mhd Turut berduka cita dan teriring do'a semoga almarhum segala khilaf dan dosanya diampuni dan seluruh…
anger,"Mas Budiman, saya punya koran langka\Suara Karya.\ Beritanya, anda dan Pak Pahan diancam hukuman mati. Koran itu saya simpan. Ingin saya kirim ke anda, tp contribusinya mas? $ukses utk anda. MEEEEERDEKA!!"
sadness,Kadang suka gak terima kalo liat hidup we gak kayak temen2 we yang mulus2 aja. Mungkin balasan dosa2 we selama ini
joy,@ganjarpranowo pak...kpn bapak jln2 ke pekanbaru...pengen banget jumpa ma bpk...
anticipation,Knpaa facebook lite sya gk bisa baca komentar yah?\n  Dan kalo ada komentar baru gk muncul dipemberitahuan
trust,Berikan rona cerah natural pada wajah dengan Radiance Blusher dan nutrisi agar bibir tetap lembap dengan Essential Lip Serum Stick.\n#Sulwhasootip: Gunakan warna paling terang pada Radiance Blusher sebagai highlighter untuk memperoleh tampilan tampak lebih muda.\n#SulwhasooID
fear,"Gan maaf saya mau nanya pesanan saya atas nama rimhot Sijabat kok belum nyampe ya? Udah 1 Minggu lebih... Saya Uda kirim email ga di bls, saya tlpn ga masuk 2...\nMohon pencerahannya...ditunggu"
anticipation,"Peringatan!\n\nMohon perhatian para WhatsAppers, kami tidak akan mengenakan biaya lainnya selain biaya layanan setiap tahun ($0.99 USD). Jika Anda menerima pesan tentang biaya tambahan lainnya dan meminta Anda untuk meneruskan pesan tersebut, pesan-pesan ini PALSU. Mohon jangan diteruskan.\n\nUntuk informasi lebih lanjut tentang biaya WhatsApp, silahkan baca artikel FAQ kami:"
anger,"Gue pelajari dr akun2 IG yg kerap memposting foto seronok, dari yg wajar mpe yg vulgar. Dan gue perhatiin seringkali si pemilik akun cuek dgn bnyk nya kata2 dan kalimat jorok, akhirnya muncul justifikasi bahwasanya nglakuin hal semacam itu (cat calling di dunia nyata) adlh WAJAR!"
anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] Masalahnya itu uang buat konsumsi buka puasa bareng anak yatim yang harus dibayarkan ke katering ..
anticipation,S & k nya apa aja ?
disgust,@AteRohana @Rakyat_Kerikil @rockygerung @prabowo maha benar Jokowi dengan segala pengikutnya..!
anger,"Met sore buat penjabat KFC,mohon di seleksi lagi karyawan KFC yg di depan moll kelapa gading.soal nya aku lihat kerja nya kurang memuaskan buat pelanggan,makasih."
trust,"Sekjen Demokrat: Kami Menyiapkan Anak Muda, Dialah AHY!"
joy,"Kinerja kementerian sosial juga naik. Bisa diartikan bahwa, kerja Ibu Khofifah Indar Parawansa selama 3 tahun itu s…"
fear,"Hidup adalah petualangan yang penuh misteri, itu sebabnya semua manusia memiliki rasa takut, was was dan kuatir saat menjalaninya, hanya bersama Yesus segala ketakutan menjadi hilang."
joy,"Tak terasa sebentar lagi Ramadan tiba. Semoga kita bisa menyambut keberkahan di bulan penuh kemuliaan ini dengan bekal sehat, bekal sabar dan bekal amal.\n\nSelamat Menunaikan Ibadah Puasa!"
sadness,daritadi tuh nangis ngeliat foto tae udh ilangin mulletnya.. apa dia tau ya banyak yg gasuka sm mullet dia? kalo kalian sayang bts seharusnya kalian juga bisa menerima apapun yg mereka lakukan dong kl udh kyk gini gbs di seselin lg udh terjadi huhuhu sedih bgt
fear,"Main artificial neural network emang ngeri2 sedap. 3 hari stressfull karena akurasi pengujian dibawah 50%. Ubah berbagai parameter masih tetep jelek. Sempat ngira bakal fail karna datanya rusak, ternyata hidden layer nya kurang banyak."
joy,Selamat Merayakan Hari raya Paskah Pak Jonan. Tuhan memberkati pengabdian. Pelayanan bapak buat sesama dan buat bangsa Indonesia. Semoga makin sehat. Makin berhkmat.
anger,[USERNAME] [USERNAME] [USERNAME] [USERNAME] [USERNAME] Salah satu pemimpin di Kalbar yg sering membuat fitnah-memprovokasi masyarakat dan sering menyampaikan pernyataan yg menyesatkan tapi belum pernah mendapatkan penindakan dari yg berwenang...
trust,"@valencia_amara Cawapresnya jokowi 2019,yg cepat, tegas, wibawa, dan bertanggung jawab,cerdas,jujur,anti korup(BTP…"
anger,"@Gerindra @prabowo santai ajalah min, jangan kaya oramg susah. duit kan tinggal ngeprint selesei."
fear,@DadoRose6 @MayjenSudrajat @Gerindra Nu kawas setan mah nu ngamuk 2 timbang ngomong 2019 ganti presiden oge geus kapanasan.
joy,@Ibnasanmail @psi_id @Bawaslu_RI_ @grace_nat @TsamaraDKI @AntoniRaja Tenang..lagi pake gincu..
sadness,"Jangan sengaja menghilang jika hanya sekedar ingin dicari,satu hal yang perlu kamu ketahui bahwa yang hilang tak selalu dicari tapi juga bisa diganti."
anger,"@RizqiRomdhoni @fadlizon @DPR_RI @Gerindra @jokowi Pernyataan anda berbahaya, mana ada partai yg mendukung tindakan terorisme."
joy,"Kunci Kemajuan Madura Versi Emil Elestianto Dardak, Mulai Jagung Hingga Ulama Kawal Investasi #JatimBaikBaikSaja"
anger,"Temen pernah beli hp online dr Batam. Stlh di trf terus dihubungi pihak bea cukai bhw hpnya gabisa keluar krn dibilang BM. Katanya, kalo ga bayar smpe jam 5 sore bakal dipolisikan, eh beneran di trf sama temen. Ternyata sama, modus penipuan. Krn barangnya ga sampe. [URL]"
joy,"Salut Dengan keberanian belio mempertaruhkan jabatannya... Semoga lahir luther2 lain juga di sumba, yang berani membela rakyatnya.."
anger,[USERNAME] JORR macet total! Dari Pintu Tol Pasar Minggu sampai Jati Asih udah hampir 3 jam! Banyak asongan di tengah jalan. Truk di jalur paling kanan. Bayar tol buat apa ya?!  [URL]
joy,aduh sangat tindu suasana madinah .
trust,@Hilmi28 @prabowo Setuju....\nTp yg jelas #GantiPresiden2019
anticipation,Pastikan perjalanan liburan Anda aman dan menyenangkan dengan proteksi dari Asuransi Hario Siaga. Dapatkan di evoucher.mnclife.com
