tweet,label,processed
"pengalaman bersama indosat hari ini , semoga tidak terjadi pada pelanggan lain . sempat sampai marah-marah dengan pelayanan pelanggan indosat",negative,"['pengalaman', 'indosat', 'semoga', 'tidak', 'pelanggan', 'marahmarah', 'pelayanan', 'pelanggan', 'indosat']"
anak sekarang sulit untuk dinasehati,negative,"['anak-anak', 'sulit', 'dinasehati']"
hanya mengatasi masalah kayak gini saja anies sandi tidak becus . ke mana saja pasukan kebersihan yang begitu banyak jumlah nya ?,negative,"['mengatasi', 'kayak', 'anies', 'sandi', 'tidak', 'becus', 'pasukan', 'kebersihan']"
setiap bumn dibentuk dengan uu bukan dibentuk dengan uu .,neutral,"['bumn', 'dibentuk', 'uu', 'bukan', 'dibentuk', 'uu']"
"sehabis puas bermain di trans studio bandung , saya bersama teman sepakat untuk makan ayam kakek di sini . ayam nya selalu enak dan gurih !",positive,"['sehabis', 'puas', 'bermain', 'trans', 'studio', 'bandung', 'teman', 'sepakat', 'makan', 'ayam', 'kakek', 'ayam', 'enak', 'gurih']"
rasa bakso cuanki dan batagor cukup . selalu ramai pengunjung . buka sekitar jam 10 pagi . dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek . harga per porsi sekitar rp 14 000 . datanglah lebih awal karena selalu ramai pengunjung,positive,"['bakso', 'cuanki', 'batagor', 'ramai', 'pengunjung', 'buka', 'jam', 'pagi', 'jalan', 'riau', 'jalan', 'yani', 'sisi', 'kiri', 'jalan', 'jalan', 'anggrek', 'harga', 'porsi', 'rp', 'datanglah', 'ramai', 'pengunjung']"
sgwr 2018 beri dampak positif terhadap hobi anak-anak,positive,"['sgwr', 'dampak', 'positif', 'hobi', 'anakanak']"
"berada di lembang , pemandangan indah , udara sejuk , penataan resto yang bagus , dilengkapi dengan makanan yang sangat nikmat . pilihan menu beragam dan minuman yang lengkap . lingkungan yang cocok untuk makan berdua dengan pasangan , membawa keluarga ataupun bersama dengan teman . lapangan parkir luas . restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya .",positive,"['lembang', 'pemandangan', 'indah', 'udara', 'sejuk', 'penataan', 'resto', 'bagus', 'dilengkapi', 'makanan', 'nikmat', 'pilihan', 'menu', 'beragam', 'minuman', 'lengkap', 'lingkungan', 'cocok', 'makan', 'berdua', 'pasangan', 'membawa', 'keluarga', 'teman', 'lapangan', 'parkir', 'luas', 'restoran', 'berkonsep', 'terbuka', 'udara', 'lembang', 'sejuk']"
"berbuka puasa di sini pada minggu lepas , pak supir yang mencadangkan tempat makan ini . makanan nya di sini sedap dan harga berpatutan . tempat nya luas dan cantik . rekomendasi too others to dine in here to rasa authentic sunda makanan indonesia .",positive,"['berbuka', 'puasa', 'minggu', 'lepas', 'supir', 'mencadangkan', 'makan', 'makanan', 'sedap', 'harga', 'berpatutan', 'luas', 'cantik', 'rekomendasi', 'too', 'others', 'dine', 'here', 'authentic', 'sunda', 'makanan', 'indonesia']"
hahaha suka banget nonton kartun indonesia keluarga pak tomat,positive,"['hahaha', 'suka', 'banget', 'menonton', 'kartun', 'indonesia', 'keluarga', 'tomat']"
bagi teman-teman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat . ada cilok rakyat ditemankan dengan teh sereh dan lekker .,positive,"['temanteman', 'berkunjung', 'bandung', 'mampir', 'kopi', 'anjis', 'makan', 'makanan', 'tidak', 'berat', 'cilok', 'rakyat', 'ditemankan', 'teh', 'sereh', 'lekker']"
"di restoran ini , saya dan keluarga makan malam yang terakhir di bandung . kami berjumlah 8 orang dan bila nya hanya sekitar 400 an , benar-benar murah meriah , sampai makan double-double lagi . makanan nya juga enak , suasana kafe menarik , pelayanan sangat bagus . saya masih teringat petunjuk toilet yang ada di restoran ini men to the pergi , karena momen are selalu ribut hahahaha . setimpal .",positive,"['restoran', 'keluarga', 'makan', 'malam', 'bandung', 'orang-orang', 'an', 'benarbenar', 'murah', 'meriah', 'makan', 'doubledouble', 'makanan', 'enak', 'suasana', 'kafe', 'menarik', 'pelayanan', 'bagus', 'petunjuk', 'toilet', 'restoran', 'men', 'the', 'pergi', 'momen', 'are', 'ribut', 'hahahaha', 'setimpal']"
"alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu . sempit , dua arah , macet sudah jadi makanan sehari-hari",negative,"['alhamdulillah', 'tidak', 'jalan', 'bugel', 'kesal', 'melulu', 'sempit', 'arah', 'macet', 'makanan', 'seharihari']"
"respon agak lama , sama sayang nya rem nya bukan asli , masih rom distrobitor",negative,"['respon', 'sayang', 'rem', 'bukan', 'asli', 'rom', 'distrobitor']"
lokasi dengan pemandangan alam yang masih natural dan indah . suasana juga sejuk dan tenang . hanya saja banyak nyamuk dan harga makanan relatif mahal .,positive,"['lokasi', 'pemandangan', 'alam', 'natural', 'indah', 'suasana', 'sejuk', 'tenang', 'nyamuk', 'harga', 'makanan', 'relatif', 'mahal']"
pdip sebut ridwan kamil menang karena berbaju merah,neutral,"['pdip', 'ridwan', 'kamil', 'menang', 'berbaju', 'merah']"
malu - maluin nih oknum yang tidak bertanggung jawab .,negative,"['malu', 'maluin', 'oknum', 'tidak', 'bertanggung']"
"makan siang di sini asyik juga . nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian . tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya , diminta berkali kali , iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi ade , ini kah ciri khas kopi di sini . kalau khas nya kopi dingin tidak enak .",negative,"['makan', 'siang', 'asyik', 'nuansa', 'bali', 'music', 'musik', 'sunda', 'kadang', 'musik', 'khas', 'bali', 'bergantian', 'enak', 'adem', 'sayang', 'pesan', 'kopi', 'banget', 'berkali', 'kali', 'iya', 'iya', 'jam', 'kopi', 'bukan', 'kopi', 'panas', 'kopi', 'adek', 'kah', 'ciri', 'khas', 'kopi', 'khas', 'kopi', 'dingin-dingin', 'tidak', 'enak']"
"tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau . tempat di riau ini lebih besar , parkiran juga tidak sulit seperti di setiabudi . lokasi di tempat kuliner jalan riau . porsi dan harga nya pas untuk ukuran steak . untuk zoom non smoking nya nyaman .",positive,"['steak', 'bandung', 'zaman', 'setiabudi', 'buka', 'cabang', 'riau', 'riau', 'besar-besar', 'parkiran', 'tidak', 'sulit', 'setiabudi', 'lokasi', 'kuliner', 'jalan', 'riau', 'porsi', 'harga', 'pas', 'ukuran', 'steak', 'zoom', 'non', 'smoking', 'nyaman']"
"08:30 : kedatangan presiden ri dan rombongan di gate 2 , terminal 3 disambut oleh menteri perhubungan , menteri bumn , gubernur banten , dirjen perkeretaapian kemhub , dirut ap2 , dirut pt kami , dan dirut railink",neutral,"['kedatangan', 'presiden', 'ri', 'rombongan', 'gate', 'terminal', 'disambut', 'menteri', 'perhubungan', 'menteri', 'bumn', 'gubernur', 'banten', 'dirjen', 'perkeretaapian', 'kemhub', 'dirut', 'dirut', 'pt', 'dirut', 'railink']"
makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung . enak sekali tidak ada yang tidak enak kalau makanan di sini .,positive,"['makanan', 'tradisional', 'stabil', 'iga', 'garang', 'asam', 'java', 'steak', 'jangan-jangan', 'lupa', 'dicoba', 'hidangan', 'penutup', 'kue', 'enak', 'lemper', 'soes', 'fla', 'gulung', 'enak', 'tidak', 'tidak', 'enak', 'makanan']"
"sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba . bumbu kacang nya pas rasanya di lidah , dan batagor nya juga tidak amis bau nya . silakan mencoba untuk yang belum pernah coba .",positive,"['batagor', 'terenak', 'kota', 'bandung', 'dibandingkan', 'batagor', 'coba', 'bumbu', 'kacang', 'pas', 'lidah', 'batagor', 'tidak', 'amis', 'bau', 'silakan', 'mencoba', 'belum', 'coba']"
"aroma khas yang ada jika makan di atas daun pisang , ya walau ramai tempat ini selalu jadi favourit saya jika ke bandung .",positive,"['aroma', 'khas', 'makan', 'daun', 'pisang', 'ramai', 'favourit', 'bandung']"
"akhir tahun lalu saya dan keluarga berjalan ke daerah lembang dan tidak sengaja mampir makan di resto ini . suasana nya nyaman , pelayanan juga ramah dan berlebihan ala kami puas . makanan yang di sajikan standar seperti makanan di restoran pada umum nya , tetapi yang membuat berbeda adalah sambal stroberi yang yummy dan bikin ketagihan . di sana selain bisa makan kita juga bisa sambil memetik . lanjutan",positive,"['tahun-tahun', 'keluarga', 'berjalan', 'daerah', 'lembang', 'tidak', 'sengaja', 'mampir', 'makan', 'resto', 'suasana', 'nyaman', 'pelayanan', 'ramah', 'ala', 'puas', 'makanan', 'sajikan', 'standar', 'makanan', 'restoran', 'berbeda', 'sambal', 'stroberi', 'yummy', 'ketagihan', 'makan', 'memetik', 'lanjutan']"
risma menjatuhkan pilihan nya pada gus ipul - puti di pilgub jatim 2018 ini .,neutral,"['risma', 'menjatuhkan', 'pilihan', 'gus', 'ipul', 'puti', 'pilgub', 'jatim']"
"pengalaman yang cukup seru , makan tanpa alas piring , tapi hanya dengan alas daun , makin nikmat . makanan sunda yang sangat bervariatif dan cukup enak . tips nya : jangan terbawa emosi dan kalap memesan dan memilih semua makanan yang disediakan biasanya kalap kalau sudah melihat makanan macam-macam begitu . pilih seperlunya .",positive,"['pengalaman', 'seru', 'makan', 'alas', 'piring', 'alas', 'daun', 'nikmat', 'makanan', 'sunda', 'bervariatif', 'enak', 'tips', 'jangan-jangan', 'terbawa', 'emosi', 'kalap', 'memesan', 'memilih', 'makanan', 'disediakan', 'kalap', 'makanan', 'macammacam', 'pilih']"
"makanan nya enak , suasana nyaman . harga bisa dibilang sama dengan tempat lain . restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh",positive,"['makanan', 'enak', 'suasana', 'nyaman', 'harga', 'dibilang', 'restoran', 'konsep', 'terkenal', 'menu', 'jepang', 'enak']"
kampung daun adalah tempat makan yang menyatukan konsep alam dan budaya dari daerah setempat . walaupun di dalam kompleks perumahan akan tetapi tempat tersebut cukup luas mempunyai mungkin sekitar 20 lebih saung / tempat makan dari yang kapasitas sedang hingga besar . kualitas makanan enak dan dengan ada nya suara riak air dari air terjun kecil di sana membuat suasana sangat nyaman untuk makan .,positive,"['kampung', 'daun', 'makan', 'menyatukan', 'konsep', 'alam', 'budaya', 'daerah', 'kompleks', 'perumahan', 'luas', 'saung', 'makan', 'kapasitas', 'besar-besar', 'kualitas', 'makanan', 'enak', 'suara', 'riak', 'air', 'air', 'terjun', 'kecil-kecil', 'suasana', 'nyaman', 'makan']"
"waktu itu ke sini pesan nasi goreng dan kentang goreng , nasi goreng nya semua suka . kentang goreng nya enak banget , dan presentasi nya bagus . keluarga bilang kopi nya enak . hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu , tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya . harga nya cukup mahal , namun karena makanan nya enak semua jadi terbayarkan . tidak perlu pikir dua kali jika mau ke tempat ini lagi .",positive,"['pesan', 'nasi', 'goreng', 'kentang', 'goreng', 'nasi', 'goreng', 'suka', 'kentang', 'goreng', 'enak', 'banget', 'presentasi', 'bagus', 'keluarga', 'bilang-bilang', 'kopi', 'enak', 'luas', 'lihat', 'pemandangan', 'dusun', 'bambu', 'pelayanan', 'tidak', 'cepat', 'kali', 'pesanan', 'harga', 'mahal', 'makanan', 'enak', 'terbayarkan', 'tidak', 'pikir-pikir', 'kali']"
"banyak sekali tempat makan sunda yang bertebaran di kota bandung , tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini . ibu imas yang berada di dekat alun-alun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan .",positive,"['makan', 'sunda', 'bertebaran', 'kota', 'bandung', 'tidak', 'jatuh', 'hati-hati', 'warung', 'makan', 'imas', 'alunalun', 'kota', 'bandung', 'menyuguhkan', 'rumah', 'makan', 'sunda', 'karakter', 'warung', 'nasi', 'zaman', 'mengambil', 'hidangan', 'proses', 'order', 'jumpai', 'warung', 'makan']"
hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai .,neutral,"['hai', 'tolong', 'bantu', 'tidak', 'input', 'tidak', 'resi', 'jne', 'kenomor', 'resi', 'dipakai']"
"foods : menu baru cheeseburger nya oke banget dan chicken wings pizza hut memang selalu juara . dirilis : mixing green tea yakult , perfect ! satu-satunya kekurangan pizza hut adalah pinggiran nya ,",positive,"['foods', 'menu', 'cheeseburger', 'oke', 'banget', 'chicken', 'wings', 'pizza', 'hut', 'juara', 'dirilis', 'mixing', 'green', 'tea', 'yakult', 'perfect', 'satusatunya', 'kekurangan', 'pizza', 'hut', 'pinggiran']"
dusun bambu ini tergolong baru di bandung . tempat nya yang dekat banget sama almamater saya . membuat saya gampang cari ini tempat . pemandangan nya bagus . banyak tempat makan yang enak-enak . beli nya nanti pakai voucher .,positive,"['dusun', 'bambu', 'tergolong', 'bandung', 'banget', 'almamater', 'gampang', 'cari', 'pemandangan', 'bagus', 'makan', 'enakenak', 'beli', 'pakai', 'voucher']"
tidak memuaskan,negative,"['tidak', 'memuaskan']"
suruh ngaca pemain nya ! dasar oneng ! ngomong saja masih ala betawi lu ! kampungan !,negative,"['suruh', 'mengaca', 'pemain', 'dasar', 'oneng', 'mengomong', 'ala', 'betawi', 'lu', 'kampungan']"
"kafe ini menyajikan sensasi makan dalam gelap . cukup unik sih , tetapi lebih dari sekali , rasanya orang jarang datang lagi . hanya menarik untuk sekadar mencoba .",negative,"['kafe', 'menyajikan', 'sensasi', 'makan', 'gelap', 'unik', 'orang-orang', 'jarang', 'menarik', 'mencoba']"
"sesuai dengan nama nya mi awie , kedai makan ini menyediakan menu mi dengan olahan daging babi . selain mi masih ada pilihan lainnya seperti nasi goreng babi , capjay goreng , bakso , pangsit dan lainnya . kami mencoba menu mi babi casau special , rasanya . enak banget !",positive,"['sesuai', 'nama-nama', 'mi', 'awie', 'kedai', 'makan', 'menyediakan', 'menu', 'mi', 'olahan', 'daging', 'babi', 'mi', 'pilihan', 'nasi', 'goreng', 'babi', 'capjay', 'goreng', 'bakso', 'pangsit', 'mencoba', 'menu', 'mi', 'babi', 'casau', 'special', 'enak', 'banget']"
"mardani ali sera : kemenangan di sosial media , akan selalu kemenangan di dunia nyata .",neutral,"['mardani', 'ali', 'sera', 'kemenangan', 'sosial', 'media', 'kemenangan', 'dunia', 'nyata']"
"terakhir ke tempat ini beberapa tahun yang lalu ketika masih berupa kafe , sekaramg sudah jadi penginapan dan boutique hotel . untuk yang travel bareng anak-anak pasti suka menginap di sini . ada playground yang seru , swimming pool , high rope , flying fox kalau menginap dapat tiket gratis dan petik stroberi perlu pesan - karena suka ramai . menginap di sini banyak pilihan kamar . enak .",positive,"['tahun-tahun', 'kafe', 'sekaramg', 'penginapan', 'boutique', 'hotel', 'travel', 'bareng', 'anakanak', 'suka', 'menginap', 'playground', 'seru', 'swimming', 'pool', 'high', 'rope', 'flying', 'fox', 'menginap', 'tiket', 'gratis', 'petik', 'stroberi', 'pesan', 'suka', 'ramai', 'menginap', 'pilihan', 'kamar', 'enak']"
selamat pagi . wah kecewa berat masa indihome internet tidak kocek lagi . saya itu bayar mahal . jangan kecewakan kami sebagai pelanggan,negative,"['selamat', 'pagi', 'kecewa', 'berat', 'indihome', 'internet', 'tidak', 'kocek', 'bayar', 'mahal', 'jangan-jangan', 'kecewakan', 'pelanggan']"
. pokok nya kurang kurang afdol kalau ke lembang atau ke bandung tidak mampir ke sini . 4 humas naik buat kampung daun .,positive,"['pokok', 'afdol', 'lembang', 'bandung', 'tidak', 'mampir', 'humas', 'kampung', 'daun']"
"kfc bandung supermall fasilitas nya lengkap luas , agak jarang ditemukan dikfc lainnya . keramahtamaan karyawan nya juga sangat bagus",positive,"['kfc', 'bandung', 'supermall', 'fasilitas', 'lengkap', 'luas', 'jarang', 'ditemukan', 'dikfc', 'keramahtamaan', 'karyawan', 'bagus']"
"restoran sapu lidi memilik keunikan tersendiri , serasa makan di tengah sawah , dikelilingin kolam ikan dan juga nuansa persawahan . menu nya seperti makanan sunda lainnya , tapi ada satu menu favorit saya , jamur bakar , enak banget .",positive,"['restoran', 'sapu', 'lidi', 'memilik', 'keunikan', 'tersendiri', 'serasa', 'makan', 'sawah', 'dikelilingin', 'kolam', 'ikan', 'nuansa', 'persawahan', 'menu', 'makanan', 'sunda', 'menu', 'favorit', 'jamur', 'bakar', 'enak', 'banget']"
"semua enak . mi abu-abu , mi black , tahu cocol dan sayap ayam nya mantap . buat makan camilan bisa di sini .",positive,"['enak', 'mi', 'abuabu', 'mi', 'black', 'cocol', 'sayap', 'ayam', 'mantap', 'makan', 'camilan']"
"nkri bersyariah , fpi , revolusi akhlaq , suara keadilan , __laugh__ semua pada tersandung kasus , fpi , ulama nya tersandung obrolan mesum tidak berani pulang , nkri bersyariah , berarti tidak mengamalkan pancasila , sungguh miris ,",negative,"['nkri', 'bersyariah', 'fpi', 'revolusi', 'akhlaq', 'suara', 'keadilan', 'laugh', 'tersandung', 'fpi', 'ulama', 'tersandung', 'obrolan', 'mesum', 'tidak', 'berani', 'pulang', 'nkri', 'bersyariah', 'tidak', 'mengamalkan', 'pancasila', 'sungguh', 'miris']"
bikin macet saja nih orang,negative,"['macet', 'orang-orang']"
singapura selidiki penjualan prt indonesia di situs daring,neutral,"['singapura', 'selidiki', 'penjualan', 'prt', 'indonesia', 'situs', 'daring']"
"pergi merayakan ulang tahun di tempat ini sangat berkesan , saya dengan istri memilih tempat ini , menu makanan variatif , dari makanan barat sampai lokal ada , sedia baju hangat . dingin sangat di sini .",positive,"['pergi', 'merayakan', 'ulang', 'tahun-tahun', 'berkesan', 'istri', 'memilih', 'menu', 'makanan', 'variatif', 'makanan', 'barat', 'lokal', 'sedia', 'baju', 'hangat', 'dingin-dingin']"
"sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo . menurut saya , dia tidak pantas memimpin negara .",negative,"['tidak', 'memilih', 'orang-orang', 'pengecut', 'prabowo', 'tidak', 'memimpin', 'negara']"
"jangan terlalu banyak iklan , perbaiki dulu jaringan kalian yang lamban",negative,"['jangan-jangan', 'iklan', 'perbaiki', 'jaringan', 'lamban']"
"kalau orang tiongkok masuk indonesia baru bisa maju , kalau andalkan orang pribumi otak nya jongkok",negative,"['orang-orang', 'tiongkok', 'masuk', 'indonesia', 'maju', 'andalkan', 'orang-orang', 'pribumi', 'otak', 'jongkok']"
cepat respon . pengiriman kilat . dan ramah . setelah akhirnya saya berputar-putar di toko lain yang tidak jelas . saya bertemu toko juragan ini yang pelayanan nya sangat memuaskan . tangkap sangat juragan .,positive,"['cepat', 'respon', 'pengiriman', 'kilat', 'ramah', 'berputarputar', 'toko', 'tidak', 'jelas-jelas', 'bertemu', 'toko', 'juragan', 'pelayanan', 'memuaskan', 'tangkap', 'juragan']"
"sok pencitraan sekali , basi sama gaya lu . lebih wibawa yang seragam coklat top deh buat pak anies .",negative,"['sok', 'pencitraan', 'basi', 'gaya', 'lu', 'wibawa', 'seragam', 'coklat', 'top', 'deh', 'anies']"
ke sini beberapa tahun yang lalu bersama teman-teman . suasana nya sangat menyenangkan dengan pemandangan yang bagus dan hawa dingin yang menyegarkan . akan lebih baik datang ke sini pada malam hari . steak nya enak .,positive,"['tahun-tahun', 'temanteman', 'suasana', 'menyenangkan', 'pemandangan', 'bagus', 'hawa', 'dingin-dingin', 'menyegarkan', 'malam', 'steak', 'enak']"
"dari saya debut . empat bagus tetapi yang bikin suka sekali itu tonight dengan saranghajima . tidak mengerti apa aku saja atau yang lain merasakan ini , winner adalah abang selain bigbang yang kalau nyanyi jiwa nya ikutan nyanyi . bagus banget . dan makin cinta dengan mereka setelah tahu sifat dan sikap saya .",positive,"['debut', 'bagus', 'suka', 'tonight', 'saranghajima', 'tidak', 'mengerti', 'apa-apa', 'merasakan', 'winner', 'abang', 'bigbang', 'nyanyi', 'jiwa', 'ikutan', 'nyanyi', 'bagus', 'banget', 'cinta', 'sifat', 'sikap-sikap']"
sangat melelahkan malam ini .,negative,"['melelahkan', 'malam']"
marah,negative,['marah']
"tidak dong . aku pilih sby , eh pilih prabowo maksude . dan yang akan datang aku pilih yang selain jokowi seperti biasanya yang selain dari partai banteng moncong tepung . grinningfacewithsmilingeyes",negative,"['tidak', 'pilih', 'surabaya', 'eh', 'pilih', 'prabowo', 'maksude', 'pilih', 'jokowi', 'partai', 'banteng', 'moncong', 'tepung', 'grinningfacewithsmilingeyes']"
"puas dengan servis nya , ramah ! harga nya sebanding dengan pelayanan dan rasanya . pemandangan nya yang keren banget , cocok buat acara ngumpul bareng teman dan keluarga ! pokok nya rekomendasi sekali ! tidak menyesal deh , pokok nya harus ke sini lagi ! saya dilayani oleh feriyana yang super ramah dan baik , pokok nya buat teman-teman the 18th ini recommened sekali !",positive,"['puas', 'servis', 'ramah', 'harga', 'sebanding', 'pelayanan', 'pemandangan', 'keren-keren', 'banget', 'cocok', 'acara', 'ngumpul', 'bareng', 'teman', 'keluarga', 'pokok', 'rekomendasi', 'tidak', 'menyesal', 'deh', 'pokok', 'dilayani', 'feriyana', 'super', 'ramah', 'pokok', 'temanteman', 'the', 'recommened']"
"ini pertama kali saya makan abuba steak di luar jakarta . rasanya agak berbeda dengan yang saya biasa nikmati di abuba steak jakarta . kurang enak . suasana restoran nya oke . toilet nya sudah agak tua , harus sedikit diperbaharui",negative,"['kali', 'makan', 'abuba', 'steak', 'jakarta', 'berbeda', 'nikmati', 'abuba', 'steak', 'jakarta', 'enak', 'suasana', 'restoran', 'oke', 'toilet', 'tua', 'diperbaharui']"
ini xl jaringan nya jelek banget ya,negative,"['xl', 'jaringan', 'jelek', 'banget']"
saya puas dengan games mobile legend,positive,"['puas', 'games', 'mobile', 'legend']"
