,tweet,label
22,"['benci', 'gampang', 'nang', 'bicara', 'tua']",Anger
23,"['geng', 'lgbt', 'patutle', 'libtard', 'gay', 'bodoh', 'tahi']",Anger
24,"['iya', 'tvn', 'suka', 'pancing', 'emosi', 'tonton']",Anger
25,"['sei', 'bangun', 'tidur', 'bikin', 'emosi']",Anger
26,"['marah', 'bangeett', 'jahat', 'si']",Anger
27,"['kadang', 'suka', 'emosi', 'baca', 'goblog', 'susah', 'ajak', 'bicara']",Anger
28,"['si', 'mutajir', 'mancing', 'emosi', 'pagi']",Anger
29,"['baca', 'kirain', 'analisis', 'boom', 'ternyta', 'hasil', 'pikir', 'otak', 'pendek', 'tolol']",Anger
30,['emosi'],Anger
31,"['mvp', 'kene', 'marah', 'capai', 'kpi']",Anger
32,"['opini', 'jelek', 'tutup', 'keburu', 'agama', 'poligami', 'hindar', 'zina', 'tolol', 'palkon', 'bacot', 'agama', 'gin']",Anger
33,"['manajemen', 'rs', 'ubah', 'biar', 'lempar', 'lempar', 'gin', 'anjimm', 'rs', 'tuh', 'butuh', 'tangan', 'cepat', 'bolak', 'ribet', 'emosi', 'ajgg']",Anger
34,"['turun', 'ayam', 'kupang', 'polisi', 'maju', 'industri', 'sumber', 'makan', 'negara', 'negara', 'tropika', 'kot', 'jadah', 'harap', 'makan', 'terna', 'import', 'bodoh', 'malaysia', 'dedak', 'ayam']",Anger
35,"['unesco', 'arab', 'hahaa', 'benci', 'anis']",Anger
36,"['undi', 'bodoh']",Anger
37,"['diam', 'bodoh']",Anger
38,"['tolol', 'bbm', 'langka', 'beras', 'mahal', 'sarap', 'jagung', 'ubi', 'berangkat', 'sekolah']",Anger
39,"['bangsat', 'akun', 'hack', 'kah']",Anger
40,"['kakak', 'umur', 'panggil', 'umur', 'anjrit', 'adik', 'oh', 'anak', 'tunggal', 'anak', 'perempuan', 'ayah', 'tolol', 'ih']",Anger
41,['marah'],Anger
42,['bodoh'],Anger
43,"['hukum', 'mati', 'bangsat', 'rusak', 'nama', 'sumut']",Anger
44,"['hmm', 'benci']",Anger
45,"['tyhan', 'kuat', 'bangsat']",Anger
46,"['sumpah', 'emosi', 'yoo']",Anger
47,"['nama', 'prik', 'bin', 'tolol']",Anger
48,"['faisal', 'basri', 'stroke', 'mental', 'retarded', 'ciri', 'khas', 'jokowi', 'tukar', 'sby', 'faisal', 'bangsat', 'drun']",Anger
49,"['dipta', 'bodoh']",Anger
50,"['iya', 'anjrott', 'dendam']",Anger
51,"['beda', 'coba', 'chat', 'huruf', 'kapital', 'sahabat', 'tolol']",Anger
52,"['bangsat', 'mang']",Anger
53,"['masak', 'bekal', 'main', 'benda', 'tajam', 'minyak', 'panas', 'tolong', 'harga', 'bikin', 'marah']",Anger
54,"['bodoh', 'begi', 'diba', 'astaga']",Anger
55,"['tolol', 'moga', 'tua', 'sehat', 'lancar', 'rejeki', 'biar', 'ngandelin', 'saudara', 'kaya', 'anjing']",Anger
56,['bangsat'],Anger
57,"['eh', 'rancang', 'jatuh', 'benci', 'perempuan', 'kah']",Anger
58,"['hah', 'bodoh', 'pantek']",Anger
59,"['emosi', 'mlu', 'burag']",Anger
60,"['yaa', 'kann', 'capai', 'lari', 'lot', 'emosi']",Anger
61,"['shipper', 'belah', 'suka', 'noren', 'ush', 'mampir', 'benci', 'noren', 'baca', 'au', 'kocak']",Anger
62,"['la', 'anak', 'balas', 'dendam', 'minggu', 'mesti', 'sakit', 'hilang', 'time']",Anger
63,"['islamofobis', 'buzzerp', 'njing', 'pil', 'komunis', 'maksiat', 'cari', 'bi', 'kafir', 'cundang', 'debat', 'teologis', 'akademis', 'lampias', 'dendam', 'kalah']",Anger
64,"['iya', 'juwi', 'emosi', 'pagi']",Anger
65,"['benci', 'jenuh']",Anger
66,"['benci', 'sekolah']",Anger
67,"['bacoot', 'kadrun', 'bangsat']",Anger
68,"['bangsat', 'berani', 'main', 'sosmed']",Anger
69,"['ajar', 'anak', 'lelaki', 'tolong', 'opini', 'tolol']",Anger
70,"['nyinyirn', 'sma', 'antek', 'harap', 'marah', 'tenang', 'jurus', 'jitu', 'balas', 'pakai', 'solawatan', 'dzolim', 'kesal', 'hahaha']",Anger
71,"['kaget', 'benci', 'saudara', 'dasar', 'benalu', 'kacang', 'lupa', 'kulit', 'bajing', 'saudara']",Anger
72,"['hahah', 'bangsat']",Anger
73,"['ha', 'tuh', 'definisi', 'adik', 'ilah', 'bikin', 'emosi']",Anger
74,"['nonton', 'on', 'going', 'emosi', 'nntonnya', 'udahlah', 'ikutin']",Anger
75,"['agama', 'lurus', 'tuhan', 'yme', 'bengkok', 'bodoh', 'sesat', 'zaman', 'motif', 'perut']",Anger
76,"['mimpi', 'dukung', 'keparnoan', 'bangun', 'bangsat', 'sebal', 'au', 'ah', 'mending', 'tidur']",Anger
77,"['haah', 'ajar', 'chargeman', 'amik', 'former', 'kat', 'kilang', 'worker', 'kejap', 'okay', 'kejap', 'okay', 'anak', 'cakap', 'kimak', 'bodoh', 'anak', 'pekak', 'jugak', 'baruah']",Anger
78,"['woii', 'bodok', 'komplain', 'opini', 'argumen', 'dkk', 'mngenai', 'kbijakan', 'perintah', 'pileg', 'dlakukn', 'goblok', 'pelihara', 'anggota', 'legislatif', 'hormat', 'makan', 'gaji', 'buta', 'tolol', 'aggota', 'dewan', 'gaji', 'umr']",Anger
79,"['serah', 'bodoh', 'suka', 'benci', 'kesal', 'hilang']",Anger
80,"['rakyat', 'benci']",Anger
81,"['menfess', 'sblmnya', 'ngejokes', 'bodoh', 'wkwk', 'definisi', 'adik', 'gimana', 'nyebut', 'saudara', 'kandang', 'muda', 'adik', 'suruh', 'ngaku', 'deh', 'mikir', 'bodoh']",Anger
82,"['marah', 'btol', 'bang']",Anger
83,"['auto', 'belit', 'ah', 'marah', 'kencing', 'gov', 'india', 'indira', 'gandhi', 'perkara', 'peluang', 'politikus', 'ltte', 'bunuh', 'indira', 'gandhi', 'ko', 'pergi', 'baca', 'sejarah', 'ltte', 'wujud', 'talib']",Anger
84,"['cok', 'pagi', 'pagi', 'emosi']",Anger
85,"['sabar', 'emosi']",Anger
86,"['benci', 'tasik', 'benci', 'jakarta']",Anger
87,"['opung', 'dendam', 'bu']",Anger
88,"['aduh', 'bangsat', 'ganteng']",Anger
89,"['benci', 'diam', 'panik', 'bingung']",Anger
90,"['cerita', 'kat', 'laki', 'pasal', 'mimpi', 'malam', 'tadu', 'mesti', 'marah']",Anger
91,"['bangsat', 'ntarnta', 'nang', 'haha', 'kecut', 'nada', 'tolol', 'mati']",Anger
92,"['bodoh', 'statement', 'minum', 'arak', 'lacur', 'main', 'judi', 'thrill']",Anger
93,"['ngaku', 'bodoh', 'ajak', 'nder', 'nganggep', 'adik', 'anak']",Anger
94,"['soft', 'emosi']",Anger
95,"['elu', 'bikin', 'marah']",Anger
96,"['jarina', 'hasebe', 'hobi', 'ngomel', 'marah', 'marah']",Anger
97,"['capee', 'puasa', 'bikin', 'marah']",Anger
98,"['anjing', 'brengsek', 'bangsat']",Anger
99,"['emosi', 'yaa']",Anger
100,"['anak', 'luah', 'kat', 'asa', 'bodoh', 'gila']",Anger
101,"['benci', 'karakter', 'cheol', 'kek', 'han', 'sakit', 'hati', 'ditegesin', 'peka', 'his', 'feeling', 'towards', 'nu', 'the', 'way', 'he', 'treated', 'han', 'that', 'hate', 'the', 'most', 'dipermainin', 'haha', 'jerk']",Anger
102,"['poin', 'oke', 'poin', 'cowok', 'marah', 'baca']",Anger
103,['emosi'],Anger
104,"['poligami', 'sunah', 'rosul', 'tunggu', 'istri', 'tinggal', 'nikah', 'ma', 'nene', 'tua', 'miskin', 'urus', 'tolol']",Anger
105,"['cakap', 'bodoh', 'bn', 'nama']",Anger
106,"['bad', 'day', 'takde', 'hak', 'anak', 'emosi', 'kat', 'professional']",Anger
107,"['pagi', 'pagi', 'bangun', 'fucked', 'up', 'bodoh']",Anger
108,"['percaya', 'benci', 'suka', 'diam', 'kaga', 'bicara', 'kek', 'kaga', 'gigit', 'elah', 'cowok', 'gentle', 'kalah', 'gentle', 'jen']",Anger
109,"['bangun', 'siang', 'si', 'bodoh', 'kaga', 'solat', 'subuh']",Anger
110,"['pura', 'pura', 'bohong', 'hakiki', 'pura', 'pura', 'bodoh', 'biar', 'waktu']",Anger
111,"['nama', 'selingkuh', 'tolol', 'kakean', 'alas']",Anger
112,"['ksl', 'si', 'liat', 'si', 'bright', 'kek', 'phinong', 'bet', 'benci', 'kek', 'suka', 'ngelunjak', 'anjr', 'fans', 'ngejelek', 'in', 'iwin', 'kek', 'asa', 'real', 'bet', 'fanservice']",Anger
113,['dendam'],Anger
114,"['sange', 'perempuan', 'puasa', 'tahan', 'jaga', 'pandang', 'poligami', 'bangsat', 'miskin', 'gegayaan', 'poligami', 'tuh', 'gimana', 'cerita', 'istri', 'jelek', 'urus', 'kasi', 'duit', 'ditinggalin', 'heran', 'laki', 'laki', 'otak', 'pakai']",Anger
115,"['waktu', 'smp', 'jengkel', 'pergi', 'bus', 'jombang', 'bojonegoro', 'jawa', 'timur', 'pakai', 'dianterin', 'terminal', 'bus', 'pinginnya', 'angkot']",Anger
116,"['eh', 'mangsa', 'maki', 'marah', 'but', 'concerned', 'pasal', 'cakap', 'tetiba']",Anger
117,"['tolong', 'benci', 'fany', 'fany', 'makan']",Anger
118,"['gabole', 'marah', 'cepett', 'tua']",Anger
119,"['si', 'gwinam', 'kayak', 'hidup', 'tinggi', 'dendam', 'chongsan']",Anger
120,"['bangsat', 'febuari']",Anger
121,"['baca', 'komenannya', 'sungguh', 'uras', 'emosi', 'asu']",Anger
122,"['kemarin', 'pilih', 'gubernurr', 'dudul', 'koyok', 'ngene']",Anger
123,"['mama', 'samaa', 'ngelunjak', 'yaudah', 'diemin', 'tega', 'an', 'jatohnya', 'tolol', 'ngebantuin', 'usaha']",Anger
124,"['tweet', 'supportive', 'parah', 'tuh', 'bareng', 'diskusi', 'ngegas', 'ruang', 'marah', 'marah']",Anger
125,"['iya', 'benci', 'atur', 'kek', 'gin', 'huhu']",Anger
126,"['la', 'marah', 'lesen', 'takde']",Anger
127,"['mak', 'darah', 'tinggi', 'andin', 'makk', 'mamak', 'marah', 'marah', 'makk']",Anger
128,"['tolol', 'nama', 'adik', 'anak', 'adik', 'posisi', 'lahir', 'kakak', 'jecil', 'gede', 'urus', 'dongo']",Anger
129,"['bangsat', 'guru', 'ayom']",Anger
130,"['anak', 'borak', 'fun', 'dengar', 'lawak', 'bodoh', 'la', 'jepp', 'haha', 'kitorang', 'dengar', 'tengah', 'on', 'projek', 'big', 'project', 'cakap', 'pasal', 'jo', 'takde', 'la', 'benda', 'takde', 'pape']",Anger
131,"['tiati', 'bodoh']",Anger
132,"['yhh', 'marah', 'cepat', 'tua', 'mampus']",Anger
133,"['bloon', 'kalah', 'mang', 'bodoh', 'anjing', 'kntl']",Anger
134,"['mun', 'patah', 'ku', 'becakap', 'utuk', 'tah', 'ku', 'diam', 'pastu', 'marah', 'pulang', 'diam', 'paham']",Anger
135,['benci'],Anger
136,"['contoh', 'tolol', 'bin', 'dongok']",Anger
137,"['perintah', 'suami', 'langgar', 'syariat', 'hormat', 'tolol', 'islam', 'berfikir']",Anger
138,"['ahaha', 'khas', 'buzzerp', 'jokowi', 'nuduh', 'tuduh', 'marah']",Anger
139,"['bodoh', 'all', 'of', 'us', 'are', 'dead', 'gwinam']",Anger
140,"['aing', 'macan', 'marah']",Anger
141,['bangsat'],Anger
142,"['stay', 'lokasi', 'dianggurin', 'lol', 'nge', 'hire', 'kayak', 'gin', 'cerita', 'tolol', 'duit', 'bikin', 'stress', 'mah', 'tinggal', 'resin', 'si', 'proyek', 'selesai', 'bikin', 'pusing']",Anger
143,"['tolong', 'leon', 'bawa', 'emosi']",Anger
144,['benci'],Anger
145,"['ngaji', 'biar', 'bodoh']",Anger
146,"['ledik', 'jancuukk', 'tahi', 'anjingg', 'setann', 'tolol', 'babi', 'monyett']",Anger
147,"['generasi', 'bodoh', 'mudah', 'begoin']",Anger
148,"['atheis', 'benci', 'kirain', 'umat', 'agama', 'beda']",Anger
149,"['hubungane', 'opo', 'bangsat']",Anger
150,"['bangsat', 'ngagetin']",Anger
151,"['emosi', 'kek', 'ahok']",Anger
152,"['benda', 'penuh', 'emosi', 'last', 'episode', 'time', 'jugak', 'anak', 'sumbat', 'ppl']",Anger
153,"['benci', 'sabtu']",Anger
154,['benci'],Anger
155,"['suka', 'bikin', 'emosi', 'gin', 'tag', 'kack']",Anger
156,"['aneh', 'bodoh']",Anger
157,"['jujur', 'shock', 'bangsat', 'kayak', 'drake', 'ampe', 'bangsat']",Anger
158,"['we', 'ustzh', 'marah', 'sbb', 'takde', 'kelas', 'pai', 'lepastu', 'salah', 'link']",Anger
159,"['nyerang', 'perintah', 'janji', 'bodoh']",Anger
160,"['mulia', 'manusia', 'normal', 'jijik', 'liat', 'kaum', 'homo', 'lagipula', 'agama', 'larang', 'tolol', 'ngeyel', 'kaya', 'homo']",Anger
161,"['allah', 'marah', 'tengok', 'video']",Anger
162,"['semangatt', 'hati', 'bangsat']",Anger
163,"['sebb', 'anak', 'jalan', 'je', 'selamba', 'je', 'jalan', 'deh', 'hak', 'anak', 'halang', 'jalan', 'kecuali', 'ambulans', 'bodoh']",Anger
164,"['aneh', 'diam', 'diam', 'ajak', 'marah', 'samsek', 'krnapa', 'gilir', 'tolong', 'tani', 'beli', 'marah', 'anjim', 'aowkaowkaow', 'skor', 'pikir', 'pikir']",Anger
165,"['hiyahiyahiya', 'pesona', 'ku', 'pandang', 'kuasa', 'tahan', 'emosi']",Anger
166,"['pakai', 'acara', 'nikah', 'tuh', 'bodoh', 'kunjung', 'tkp', 'main', 'jempol', 'luu', 'keree', 'ongkos', 'bayarin', 'mah']",Anger
167,"['suka', 'marah', 'marah']",Anger
168,"['pens', 'namanye', 'tolol']",Anger
169,"['aa', 'maaf', 'pagi', 'pagi', 'marah', 'marah']",Anger
170,"['asli', 'asli', 'tolol', 'bat', 'yaampun']",Anger
171,['tolol'],Anger
172,"['marah', 'asa']",Anger
173,"['bodoh', 'la', 'check', 'xcden']",Anger
174,"['tolol', 'pura', 'pura', 'tolol', 'butuh', 'informasi', 'akun', 'sosial', 'buka', 'umum']",Anger
175,"['emosi', 'kesal', 'nontonnyaa']",Anger
176,"['bikin', 'kesal', 'liat', 'muka']",Anger
177,"['main', 'pakai', 'first', 'pon', 'kalah', 'kelab', 'bodoh', 'bala', 'la']",Anger
178,['bodoh'],Anger
179,"['pagi', 'emosi']",Anger
180,"['gimana', 'bangsat', 'gasii']",Anger
181,"['deh', 'kak', 'mark', 'biar', 'emosi']",Anger
182,"['biar', 'bodoh', 'ngehancurin', 'bahagia']",Anger
183,"['ngapa', 'bawa', 'sby', 'hakikat', 'sah', 'muji', 'benci', 'alas', 'konkret', 'munafik', 'bicara', 'kasih', 'gambar', 'jaka', 'sembung', 'bawa', 'kembang', 'nyambung', 'sayang']",Anger
184,"['facebook', 'coba', 'buka', 'bem', 'virus', 'adm', 'wabah', 'nyebar', 'manusia', 'bodoh', 'dik', 'ampe', 'urat', 'malu', 'putus', 'dik']",Anger
185,"['bodoh', 'ustad', 'bodoh']",Anger
186,"['kha', 'bodoh', 'tolol', 'brengski', 'oon', 'gblok', 'ksel', 'kesell']",Anger
187,"['bawa', 'emosi']",Anger
188,"['suka', 'karakter', 'nu', 'sera', 'bodoh', 'segitu', 'buta', 'this', 'is', 'why', 'called', 'him', 'jerk']",Anger
189,"['mu', 'tolol']",Anger
190,"['bodoh', 'law', 'nk', 'ambil', 'course', 'la', 'bodo', 'keje', 'grab', 'je', 'la']",Anger
191,"['emosi', 'bilang', 'cakap', 'putih', 'makan', 'taii']",Anger
192,"['bsbsnya', 'mimpi', 'ipar', 'jelma', 'siluman', 'babi', 'pikir', 'korelasi', 'si', 'sikap', 'sifat', 'tingkah', 'layak', 'manusia', 'wkwk', 'cok', 'benci', 'manusia']",Anger
193,"['bodoh', 'relax', 'sakit']",Anger
194,"['anggap', 'poligami', 'solusi', 'zina', 'oiya', 'laki', 'poligami', 'poligami', 'gampang', 'benci', 'poligami', 'manusia', 'tanggung', 'poligami', 'berat']",Anger
195,"['pickaw', 'dendam', 'kek']",Anger
196,"['ayah', 'ngelarang', 'anak', 'istri', 'nunjukin', 'jengkel', 'also', 'ayah', 'jengkel', 'nada', 'ngomongnya', 'ketus', 'banting', 'pintu', 'narok', 'barang', 'kasar']",Anger
197,"['si', 'bodoh', 'monthly', 'salary', 'ngitung', 'diannual', 'pas', 'approved', 'bingung', 'laba']",Anger
198,"['pimpin', 'pesantren', 'cabul', 'bikin', 'opini', 'tolol']",Anger
199,"['bodoh', 'ajgg']",Anger
200,"['khianat', 'negara', 'gaduh', 'songlap', 'negara', 'tikam', 'ph', 'anak', 'good', 'cop', 'pulak', 'lawak', 'bodoh']",Anger
201,"['diselingkuhin', 'pacar', 'main', 'diam', 'diam', 'mulus', 'bodoh', 'pdktnya', 'tau', 'cepat']",Anger
202,"['anjr', 'kesal', 'suka', 'curi', 'semangat', 'ashh', 'moga', 'lancar', 'tadu', 'si', 'curi', 'judulny', 'keren', 'bridge', 'tree', 'fragment']",Anger
203,"['sabar', 'sabar', 'marah']",Anger
204,"['mesti', 'benci', 'perintah', 'obatin', 'sembuh', 'covidnya', 'sembuh', 'sakit', 'hati', 'sembuh']",Anger
205,"['main', 'klarinet', 'lambai', 'lampu', 'senter', 'cepat', 'anggap', 'undang', 'henti', 'tatap', 'makan', 'keju', 'kecuali', 'kotak', 'pakai', 'topi', 'sombrero', 'pakai', 'baju', 'bodoh']",Anger
206,['bangsat'],Anger
207,"['no', 'izin', 'suami', 'poligam', 'cegah', 'perzinahan', 'aduhh', 'goblok', 'nikah', 'zina', 'poligami', 'bagus', 'anjur', 'agama', 'helloww', 'agama', 'tuh', 'kontol', 'lubang', 'bajing', 'bangsat']",Anger
208,"['emosi', 'og', 'wkkw']",Anger
209,"['say', 'gimana', 'mainin', 'asa', 'cowok', 'si', 'cowok', 'kek', 'sesal', 'tinggal', 'cewenya', 'temenku', 'si', 'biar', 'pikir', 'si', 'cowonya', 'tinggal', 'si', 'pilih', 'bodoh']",Anger
210,"['naksir', 'si', 'nder', 'dideketin', 'kasih', 'lampu', 'merah', 'mundur', 'suruh', 'sekolah', 'orangtua', 'benci', 'tolak', 'kasi', 'lampu', 'merah', 'pas', 'nembak', 'tolak', 'takut', 'sakit', 'hati']",Anger
211,"['taik', 'benci', 'twitter', 'suka', 'refresh', 'bangsaat', 'tweet', 'lucu', 'baca']",Anger
212,"['konyol', 'bodoh']",Anger
213,"['benci', 'bodoh']",Anger
214,"['salah', 'baperan', 'tolol']",Anger
215,"['still', 'marah', 'pasal', 'panadol']",Anger
216,['bangsat'],Anger
217,"['pintar', 'tolol']",Anger
218,"['tolol', 'nilo', 'jilat', 'tahi', 'sebdiri', 'guwvtakut', 'si', 'bayangin', 'omar', 'marahh', 'eumm']",Anger
219,"['cinta', 'emyuu', 'tolol', 'sumpah']",Anger
220,"['cebong', 'tolol', 'nongol']",Anger
221,"['suruh', 'mati', 'tolol']",Anger
222,"['oh', 'pantes', 'bodoh', 'og', 'umur', 'dualisme', 'ckck']",Anger
223,"['liat', 'negro', 'ras', 'bangsat']",Anger
224,"['benci', 'suka', 'hindar']",Anger
225,"['biarin', 'marah', 'aing']",Anger
226,"['pagi', 'baca', 'berita', 'tl', 'cebong', 'ngamuk', 'ngamuk', 'cari', 'alas', 'dewa', 'harga', 'luhut', 'pidato', 'cebong', 'hibur', 'pura', 'pura', 'bahagia', 'cebong', 'cebong', 'bodoh', 'idiot', 'permanent', 'mentang', 'mentang', 'gratis', 'ambil', 'bodoh', 'idiot']",Anger
227,"['lagu', 'sakusa', 'habis', 'diputusin', 'atsumu', 'habis', 'misuhin', 'lagu', 'yakali', 'benci', 'yakali', 'cari', 'benci']",Anger
228,"['dicekokin', 'cakap', 'kulit', 'putih', 'alias', 'tolol']",Anger
229,"['kesal', 'pagi', 'ribet', 'bangsat']",Anger
230,['bodoh'],Anger
231,"['jengkel', 'call', 'centernya', 'buru', 'closing', 'selesai', 'parahh', 'oia', 'sicepat', 'nama']",Anger
232,"['gaduh', 'timbul', 'efek', 'demo', 'bersilit', 'silitnya', 'ilang', 'marah', 'kecewa', 'jebul', 'sing', 'dukung', 'dadi', 'tri', 'kabeh']",Anger
233,"['janji', 'dedak', 'bodoh', 'bodoh', 'la']",Anger
234,"['kelimaa', 'anjing', 'sial', 'minggu', 'bangsat', 'besok', 'taiik']",Anger
235,"['masyarakat', 'gerak', 'gerik', 'bohong', 'jual', 'dalil', 'si', 'bangsat', 'provokator', 'hh', 'pecah', 'belah', 'anak', 'bangsa', 'polisi', 'hrsnya', 'sgr', 'jeblos', 'bui', 'bajing', 'jnj']",Anger
236,"['anak', 'makan', 'la', 'suami', 'ko', 'suruh', 'beli', 'pulak', 'bodoh']",Anger
237,"['bodoh', 'takda', 'flight']",Anger
238,"['mas', 'pagi', 'tahan', 'emosi']",Anger
239,"['mark', 'calling', 'marah']",Anger
240,"['kalah', 'emosi', 'yaa']",Anger
241,"['jengukin', 'share', 'jam', 'ahh', 'copit', 'bangsat', 'maaf', 'bikin', 'mimi', 'sakit', 'sndirian']",Anger
242,"['hukum', 'bangsat', 'bangsat']",Anger
243,"['ramai', 'suami', 'istri', 'yaa', 'canda', 'bikin', 'lebam', 'ajaa', 'tipe', 'suka', 'disakitin', 'sayah', 'hidup', 'marah', 'anak']",Anger
244,"['bodoh', 'checkout', 'maybelline', 'lupa', 'pilih', 'hadiah']",Anger
245,"['eskrim', 'balas', 'dendam', 'om', 'jev', 'anjg', 'maaf', 'kak', 'esmosi', 'jiwa', 'om', 'jevan', 'shibal']",Anger
246,"['sisi', 'kalo', 'proses', 'kemarin', 'gagal', 'minum', 'obat', 'selesai', 'please', 'benci', 'situasi', 'keep', 'sakit', 'susah', 'benci']",Anger
247,"['match', 'competitive', 'menang', 'tolol', 'mending', 'uninstall', 'bakat']",Anger
248,"['jengkel', 'yaa', 'teman', 'teman', 'kelompok']",Anger
249,"['slogan', 'buang', 'ganti', 'polis', 'bangsat']",Anger
250,"['wkwkakak', 'faker', 'tolol', 'ye']",Anger
251,"['kucing', 'steril', 'kurung', 'rumah', 'kabur', 'main', 'rumah', 'si', 'tetangga', 'sinting', 'kejar', 'eh', 'harap', 'ketemu', 'sapa', 'ketemu', 'amnjing', 'bangsat']",Anger
252,"['reda', 'emosi', 'emosi']",Anger
253,"['sorry', 'bang', 'benci', 'bilang', 'capai']",Anger
254,"['pagi', 'marah', 'marah']",Anger
255,"['frik', 'ambis', 'males', 'bodoh', 'nyimbangin', 'asu', 'kesan', 'jelek', 'rata', 'rata', 'oke']",Anger
256,"['spill', 'rl', 'sabar', 'hps', 'twt', 'ganti', 'username', 'kayak', 'cari', 'ribut', 'cwek', 'bangsat']",Anger
257,"['marah', 'baca', 'au', 'tbtb', 'out']",Anger
258,"['bodoh', 'maksa']",Anger
259,"['mmf', 'yh', 'say', 'bodoh', 'xixi']",Anger
260,"['parahh', 'bangsat', 'planga', 'plongo', 'dongo', 'beleng', 'bangsat', 'cr', 'makan', 'menghiaap', 'darah', 'dn', 'nyawa']",Anger
261,"['genius', 'kang', 'taehyun', 'happy', 'birthday', 'anak', 'lanang', 'sehat', 'jan', 'sakit', 'sakit', 'marah', 'kangen', 'tyunn', 'sulap', 'tyunn', 'konten', 'masak', 'upload', 'yt']",Anger
262,"['download', 'valorant', 'tolol']",Anger
263,"['sume', 'sbb', 'rakyat', 'bodoh', 'pi', 'pilih', 'susah', 'rakyat', 'watpe', 'melayu', 'isle', 'la', 'hanggok', 'hang']",Anger
264,"['jujur', 'malu', 'indo', 'tinggal', 'negara', 'bodoh', 'kayak', 'gin']",Anger
265,"['awan', 'dendam', 'ngomng', 'wan']",Anger
266,"['kesal', 'gegara', 'kelompok']",Anger
267,"['bilang', 'realistis', 'butuh', 'duit', 'oke', 'cari', 'duit', 'si', 'materialistis', 'tuh', 'iinget', 'butuh', 'uang', 'uang', 'emosi', 'realistis', 'materialistis']",Anger
268,['benci'],Anger
269,"['pagi', 'pagi', 'gin', 'bikin', 'emosi']",Anger
270,"['wkwkwk', 'tolol']",Anger
271,"['egois', 'bodoh']",Anger
272,"['setan', 'kribo', 'model', 'kayak', 'si', 'murtad', 'saefudin', 'ibrahim', 'pendeta', 'mendeskriditkan', 'islam', 'si', 'setan', 'kribo', 'murtad', 'murtad', 'umat', 'islam', 'bikin', 'nebar', 'fitnah', 'paham', 'agama', 'islam', 'kayak', 'gin', 'narasi', 'si', 'bangsat']",Anger
273,"['pagi', 'emosi']",Anger
274,"['block', 'cowok', 'kr', 'ig', 'gegara', 'pas', 'foto', 'aneh', 'tolak', 'foto', 'aneh', 'bodoh']",Anger
275,"['anak', 'cucu', 'bangsat', 'bangsa']",Anger
