,label,tweet
27,sadness,"['berita', 'via', 'vallen', 'dm', 'pemain', 'sepak', 'bola', 'terkesan', 'menggoda', 'sexual', 'harment', 'liat', 'komennya', 'bilang', 'lebay', 'publish', 'kek', 'parahnya', 'nyinyir', 'perempuan', 'miris']"
28,sadness,"['abis', 'jengukin', 'teman', 'sakit', 'parah', 'terenyuh', 'takut', 'penyakit', 'takut', 'ramadhan', 'berkah', 'allah', 'doa', 'kesembuhan', 'teman', 'kantor', 'tb', 'adriana', 'pramudya', 'bin', 'tb', 'dasep']"
29,sadness,"[ , 'belajar', 'sejarah', 'sejarah', 'dunia', 'muter', 'disitu', 'miris', 'menganggap', 'saudi', 'us', 'kubu', 'bersebrangan']"
30,fear,"['liat', 'teman', 'teman', 'kewong', 'ngeri', 'memikirkan', 'kewong', 'dengernya', 'kepikiran', 'takut']"
31,sadness,"['nasib', 'tahun', 'eh', 'tahun', 'lebaran', 'rumah', 'plus', 'lebaran', 'bayangannya', 'tahun', 'lebaran', 'dirumah', 'lebaran', 'dikantor']"
32,happy,"['sunda', 'kelapa', 'alhamdulillah', 'abis', 'tarawih', 'masjid', 'agung', 'sunda', 'kelapa', 'nikmat', 'rekaat', 'nikmat', 'bacaan', 'imamnya', 'mantap', 'masjid', 'persembahan', 'gubernur', 'ali', 'sadinin', 'masyarakat', 'jakarta', 'coba', 'tarawih', 'gub',  , 'wagub',  ]"
33,anger,"['efek', 'pintu', 'tol', 'slipi', 'arah', 'semanggi', 'ditutup', 'macet', 'parah', 'polisi', 'ngatur', 'jagain', 'jalur', 'busway',  ,  ,  ]"
34,anger,"[ ,  , 'setuju', 'bang', 'bikin', 'hidupnya', 'tenang', 'memikirkan', 'ky', 'cari', 'orderan', 'gedeg', 'bikin', 'opik', 'begituan']"
35,happy,"['raja', 'sultan', 'tergabung', 'forum', 'silaturrahmi', 'kraton', 'nusantara', 'bangga', 'terharu', 'undangan', 'presiden',  , 'istana', 'presiden', 'memperhatikan', 'budaya', 'nusantara']"
36,sadness,"['cewek', 'cewek', 'bikin', 'instastory', 'suaranya', 'cakap', 'alus', 'ye', 'kalah', 'manisnya', 'gula', 'mah', 'dengerin', 'suara', 'kek', 'tikus', 'kejepit', 'annoying', 'suara', 'qu', 'wkwkwk']"
37,fear,"[ , 'yess', 'pemilih', 'kriteriaku', 'suka', 'ketinggian', 'bosenan', 'takut', 'pas', 'nikah', 'bosan']"
38,happy,"['via', 'valen', 'simbol', 'perlawanan', 'didukung', 'apapun', 'profesinya', 'wanita', 'dihormati', 'dihargai']"
39,anger,"['mundur', 'penghianatan', 'dibelakang', 'pagar', 'tribun', 'bersuara', 'bangkitkan', 'semangat', 'pemain', 'dilapangan', 'suara']"
40,sadness,"['manusia', 'phobia', 'sempit', 'sesak', 'liat', 'penyelamatan', 'anak', 'anak', 'terjebak', 'thailand', 'berdoa', 'merinding', 'nangis', 'bergidik', 'liat', 'medannya']"
41,sadness,"[ , 'presiden', 'terhormat', 'bantuan', 'jalan', 'kota', 'pasuruandan', 'kabupaten', 'pasuruan', 'rusak', 'parah', 'bantuan', 'presiden', 'meninjau', 'jalan', 'kota', 'pasuruan', 'kabupaten', 'pasuruan', 'jawa', 'timur', 'rakyat', 'tersiksa', 'jalan', 'rusak']"
42,love,"['menit', 'menit', 'jatuh', 'cinta', 'salah', 'sapa', 'coba']"
43,fear,"['kemarin', 'habis', 'sulam', 'alis', 'ketebalan', 'kaya', 'sincan', 'hasil', 'lukanya', 'mengering', 'peel', 'off', 'hasilnya', 'kaya', 'bulu', 'alis', 'alami', 'semoga', 'ye', 'sia', 'sia', 'tahan', 'sakit', 'kelapa', 'gading']"
44,sadness,"['kppn', 'akun', 'facebook', 'ig', 'twitter', 'dipost', 'kppn', 'umum', 'sempet', 'update', 'medsos', 'kantor', 'sdgkan', 'medsos', 'susah', 'cari', 'konten', 'dyaar']"
45,sadness,"['selamat', 'jalan', 'adik', 'hidup', 'meninggal', 'allah', 'inna', 'lillahi', 'inna', 'ilahirojiun']"
46,anger,"['anjiir', 'via', 'vallen', 'digituin', 'casually', 'bilang', 'are', 'angry', 'hmm', 'kaya', 'sebiasa', 'negara', 'eropa']"
47,sadness,"[ , 'intinya', 'mah', 'lakukan', 'perubahan', 'dunia', 'apapun', 'hasilnya', 'opini', 'socmed', 'nimbulin', 'pro', 'kontra', 'merubah']"
48,anger,"['jahat', 'mbaknya', 'semoga', 'mbaknya', 'korban', 'sexual', 'harrasment', 'yaa', 'mbak', 'biar', 'merasakan', 'lecehkan', 'kesal', 'bacanya', 'bilang', 'tolol', 'si', 'mbaknya']"
49,anger,"['travel', 'meler', 'anti', 'asing', 'sok', 'bicara', 'pakai', 'gaya', 'asing', 'mulut', 'bau', 'ko', 'bikin', 'kiyai']"
50,anger,"['penelitian', 'ku', 'susah', 'nasehatin', 'jatuh', 'cinta', 'dibilangin', 'bicara', 'gini', 'ekstra', 'sabar']"
51,fear,"['dinas', 'ambil', 'sampel', 'air', 'hasilnya', 'minggu', 'takut', 'fakta', 'binatang', 'hidup', 'air']"
52,anger,"['situ', 'mikir', 'tugas', 'liat', 'punyamu', 'acuan', 'bingung', 'tolong', 'situ', 'keseringan', 'ku', 'alibi']"
53,happy,"['muncul', 'ramai', 'ku', 'uptudate', 'bersyukur', 'anti', 'uninstall', 'twitter', 'twitter', 'club']"
54,love,"['alasan', 'mencintai', 'digerakkan', 'cinta', 'tuk', 'mencintai', 'menggerakkan', 'cinta', 'cintalah', 'menyatukan', 'menyatukan', 'cinta']"
55,sadness,"['miris', 'mengakulturasikan', 'gaya', 'paham', 'casual', 'kalangan', 'supporter', 'bandung', 'seiiringnya', 'waktu', 'berjalan', 'timbul', 'organisasi', 'mengatasnamakan', 'casual']"
56,love,"['cinta', 'menutup', 'logikaku', 'meniupkan', 'sukmanya', 'hatiku', 'apapun', 'lakukan', 'sempurna', 'bagiku', 'menemukan', 'keganjilan', 'dirimu']"
57,fear,"['apapun', 'ngalamin', 'kejadian', 'pas', 'ujian', 'siang', 'macet', 'gila', 'teriak', 'disamping', 'omongannya', 'kaya', 'cerita', 'dibawah', 'spot', 'jantung', 'takut', 'sumpah']"
58,anger,"[ , 'kuota', 'gb', 'dipakai', 'kuota', 'habis', 'bantuannya']"
59,love,"[ ,  ,  ,  , 'nek', 'sinh', 'mas', 'drumer', 'kui', 'yo', 'cinta', 'terindah', 'no', 'kenangan', 'terlupakan', 'mention', 'wae', 'cur']"
60,sadness,"['obrolan', 'dospem', 'grup', 'menjelang', 'besok', 'sidang', 'dos', 'fir', 'latar', 'belakangmu', 'kuat', '_', 'dos', 'latar', 'kuat', 'tujuan', 'penulisan', 'sensei', 'revisi', 'habis', 'revisi', 'bab']"
61,sadness,"[ ,  , 'sabar', 'hehehee', 'diceramahin', 'lebar', 'disangka', 'sayang', 'allah']"
62,happy,"['tuhkan', 'apple', 'tuh', 'kasih', 'update', 'tanggung', 'tanggung', 'hp', 'jadul', 'update', 'kaya', 'android', 'setahun', 'tahun', 'ditinggalin']"
63,love,"['rambutnya', 'memutih', 'badannya', 'lengannya', 'kuat', 'menjagamu', 'bahaya', 'papa', 'menyelesaikan', 'tugasnya']"
64,anger,"['ngerti', 'ciwi', 'ciwi', 'nyinyirin', 'via', 'vallen', 'korban', 'sexual', 'harment', 'sesusah', 'support', 'gzz']"
65,love,"['sayang', 'semoga', 'sehat', 'bahagia', 'limpahan', 'rezeki', 'jodoh', 'see', 'in', 'another', 'trip', 'my', 'loves']"
66,happy,"['sehari', 'padat', 'menyenangkan', 'wish', 'me', 'luck', 'and', 'healthy', 'deh', 'seminggu', 'fingers', 'crossed']"
67,sadness,"['rt',  , 'suka', 'mengopi', 'bersamamu', 'suka', 'jalan', 'jalan', 'jalan', 'denganmu', 'suka', 'suka', 'menyukaimu']"
68,sadness,"[ , 'peng', 'stalk', 'akun', 'twitternya', 'juned', 'memori', 'sma', 'kayak', 'otomatically', 're', 'play', 'in', 'my', 'brain', 'kangen', 'kangen',  , 'isinya', 'kangen', 'tertawa', 'ketiwi', 'kantin', 'nongkrong', 'rumah', 'delima', 'rumah', 'anggota', 'mak']"
69,anger,"['berobat', 'ngantri', 'dokter', 'kek', 'ngantri', 'sembako']"
70,anger,"['wanita', 'suka', 'menghancurkan', 'hubungan', 'bangga', 'berhasil', 'merusak', 'kebahagian', 'silahkan', 'berkah', 'bahagianya', 'hehe']"
71,love,"['hua', 'jujudd', 'sayang', 'aih', 'harap', 'jujud', 'tinggalkan']"
72,fear,"['liv', 'lupa', 'ingatkan', 'keluh', 'liv', 'lupa', 'ingatkan', 'positive', 'vibe', 'dunia', 'jarang']"
73,love,"['aww', 'thank', 'you', 'ainin', 'sayang', 'amin', 'semoga', 'semoga', 'dipermudahkan', 'cinta', 'you', 'even', 'more', 'hahahahhaa', 'okey', 'll', 'change', 'right', 'now', 'hehehehe', 'thank', 'yiu', 'againss']"
74,sadness,"['membela', 'kesalahan', 'kerjaan', 'pertemanan', 'disaat', 'pembelaan', 'lakuin']"
75,love,"['bagaiman', 'kabar', 'jantung', 'mbak', 'mbak', 'megangin', 'micnya', 'bertahun', 'tahun', 'jaman', 'sma', 'ngena', 'heran', 'semudah', 'jatuh', 'cinta', 'canyol']"
76,anger,"['ngoceh', 'artis', 'xx', 'follow', 'masku', 'ngoceh', 'teman', 'komentar', 'haha', 'kasihan', 'beli', 'tiket', 'mahal', 'salaman', 'kaga', 'folbek', 'was', 'like', '_________', 'pfftt', 'males', 'bicara', 'goblok']"
77,happy,"['saking', 'asiknya', 'test', 'organo', 'sadar', 'pabrik', 'sepi', 'kekunci', 'untung', 'sinyal', 'ngabarin', 'kantor']"
78,love,"['sayang', 'mutualku', 'maaf', 'mutual', 'cinta']"
79,happy,"['menikmati', 'hidup', 'pertemukan', 'pasangan', 'memiliki', 'sahabat', 'teman', 'terdekatnya', 'kekurangan', 'kasih', 'sayang']"
80,anger,"['ih', 'wowo', 'pemaf', 'maaf', 'pendendam', 'ush', 'akun', 'bwat', 'delcon', 'picik', 'otak']"
81,happy,"['sore', 'kak', 'rica', '_', 'makan', 'semangat', 'kak']"
82,happy,"['diucapin', 'happy', 'birthday', 'heran', 'berdasarkan', 'kalender', 'hijriyah', 'ramadhan', 'lahir', 'oke', 'accept', 'that']"
83,sadness,"['kabar', 'sayang']"
84,happy,"['keren', 'bilang',  , 'anti', 'islam', 'triliun', 'hektar', 'kampus', 'rujukan', 'islam', 'dunia', 'sekelas', 'al', 'azhar', 'proyek', 'ponpes', 'madrasah', 'masjid', 'fasilitas', 'ummat', 'bilang', 'beliau', 'an']"
85,sadness,"['iya', 'diharapin', 'kehidupan', 'kesibukannya', 'sekedar', 'cerita', 'susah', 'sahabat', 'susah', 'nyarinya', 'bersyukah', 'sahabat', 'dikalan', 'happy', 'susah', 'disisi']"
86,sadness,"['kadang', 'secapek', 'tahan', 'hati', 'blaming', 'ngatain', 'super', 'bodoh', 'mental', 'tempe', 'risol', 'berasa', 'gorengan', 'ampas', 'ampas', 'gimanapun', 'keras', 'berusaha']"
87,sadness,"['membenco', 'hujan', 'sore', 'kecewa', 'pergi', 'mentari', 'bersinar', 'lenyap', 'kisahku']"
88,happy,"['pemuda', 'indonesia', 'bangga', 'indonesia', 'pemimpin', 'hebat', 'sekedar', 'tindakan', 'doa', 'rakyat', 'indonesia', 'semoga', 'jujur', 'bijaksana',  ,  ,  ,  ,  ,  ,  ]"
89,sadness,"['nampak', 'lelaki', 'lurus', 'innocent', 'tertipu', 'habis', 'buta', 'perasaan', 'cinta', 'sayang']"
90,fear,"['hmm', 'thailand', 'tuh', 'suka', 'wisata', 'kuliner', 'ngeri', 'disana', 'halal', 'makan']"
91,happy,"[ ,  , 'mukanya', 'ahahaha', 'kemarin', 'taehyung', 'oh', 'menang', 'jimin', 'hahahaha', 'tengil', 'mukanya']"
92,love,"['desi', 'sayang', 'desi', 'suka', 'desi', 'ungkapan', 'perasaanku', 'desi', 'terlepas', 'memendam']"
93,happy,"['bersyukur', 'kulalui', 'dgnnya', 'akupun', 'bersyukur', 'senyum', 'diwajahnya', 'bersamanya', 'peduli', 'marah', 'berjauhan', 'mengerjar', 'ibumu', 'terlampau', 'kasihan', 'pdku']"
94,sadness,"['berat', 'rindu', 'dilan', 'skripsi', 'pengalaman', 'psikologi', 'bilang', 'tema', 'judul', 'ambil', 'cocok', 'pengalaman', 'pribadi', 'iya']"
95,sadness,"['kakinya', 'diapain', 'ampun', 'sakit', 'nyeri', 'rumah', 'jengah', 'aduh', 'aduh', 'gara', 'serangan', 'mendadak', 'kaki']"
96,anger,"['niat', 'hati', 'regis', 'sim', 'card', 'selesai', 'masukin', 'nomor', 'nik', 'eh', 'nomor', 'kakak', 'goblok', 'kakak', 'megang', 'nyimpen', 'kakak']"
97,love,"['nangroe', 'aceh', 'darussalam', 'istimewa', 'al', 'fatihah', 'teuku', 'markam', 'hormat', 'keluarga', 'teuku', 'markam', 'rakyat', 'indonesia']"
98,love,"['liat', 'notifikasi', 'dibalas', 'senengnya', 'mati', 'gembiranya', 'berhari', 'ig', 'story', 'diliat', 'ig', 'post', 'cinta', 'girangnya', 'terbawa', 'mimpi', 'jatuh', 'cinta', 'seringkali', 'bikin', 'kekanak', 'kanakan']"
99,sadness,"['datangmu', 'menggenapi', 'pergimu', 'mengganjilkan', 'dilahirkan', 'manusia', 'berguna', 'sesamanya']"
100,anger,"['bicara', 'ngejiplak', 'at', 'sos', 'wisma', 'slipi', 'lt']"
101,love,"['pandangan', 'genggaman', 'tangan', 'pelukan', 'hangat', 'definisi', 'cinta', 'pasangan', 'pemahaman', 'berbeda', 'pengertian', 'berbeda', 'terluka', 'membuatmu', 'berhenti', 'mencari', 'cinta', 'perfect', 'cinta']"
102,fear,"['jalur', 'dilewati', 'jalur', 'truck', 'mikir', 'gini', 'sayang', 'nyawa', 'umpatan', 'jalan', 'penerangan', 'ngelawan', 'arus', 'jalan']"
103,happy,"['pacu', 'fisik', 'biar', 'terjaga', 'puasa', 'gini', 'bikin', 'labil', 'persiapan', 'puncak', 'mandala', 'diksar', 'wanadri', 'menjauh', 'ayodong', 'semangat']"
104,anger,"['spam', 'nihh', 'indosat',  , 'ku', 'nasehat', 'dianjurkan', 'mimin', 'membalas', 'twit', 'sambatku', 'terhitung', 'sms', 'jam', 'pacarku', 'posesif', 'gini', 'lhoo']"
105,anger,"[ , 'penumpang', 'yamg', 'kadang', 'suka', 'gemes', 'turun', 'berjubel', 'dipintu', 'iya', 'mencari', 'nafkah', 'biarkan', 'penumpang', 'turun', 'trimakasih']"
106,happy,"['senang', 'berobat', 'bandung', 'konsulen', 'sharing', 'bercanda', 'bali', 'ngeliat', 'konsulen', 'nunduk', 'senyum', 'kecut']"
107,love,"['iya', 'dosa', 'cinta', 'muahh']"
108,fear,"['salah',  , 'perintahkan', 'menkes', 'menambah', 'ruangan', 'sakit', 'jiwa', 'rumah', 'sakit', 'sbab', 'menutup', 'pilpres', 'rumah', 'sakit', 'dibanjiri', 'pasien', 'sakit', 'jiwa', 'tanda', 'kearah', 'stress']"
109,anger,"[ , 'kejelasan', 'uang', 'langkahnya', 'nasabah', 'memiliki', 'problem', 'tolong', 'bank', 'mandiri', 'kantor', 'cabang', 'sabang', 'jakarta', 'pusat']"
110,sadness,"['membawa', 'segudang', 'ajaib', 'menenangkan', 'merubah', 'mindset', 'waktu', 'membutuhkan', 'membawa', 'berpikul', 'pikuk', 'cerita', 'sabar', 'diceritakan']"
111,sadness,"['ku', 'hapus', 'sakitku', 'ku', 'perjuangkan', 'cinta', 'salahku', 'ku', 'layak', 'dapatkan', 'kesungguhanmu']"
112,happy,"['gila', 'lokasinya', 'selly', 'oal']"
113,love,"['oppa', 'flower', 'bucket', 'qm', 'maafin', 'bikin', 'marah', 'ngabarin', 'akuu', 'sayang']"
114,sadness,"['anggota', 'komite', 'medik', 'rs', 'kadang', 'membicarakan', 'death', 'case', 'rapat', 'komite', 'medik', 'membicarakan', 'pasien', 'meninggal', 'perawatan', 'rs', 'menyenangkan', 'wlopun', 'pasien']"
115,anger,"[ ,  , 'halahh', 'kritik', 'ciduk', 'ketemu', 'noh', 'kacungmu', 'braninya', 'medsos', 'giliran', 'diskusi', 'terbuka', 'plangaplongo', 'ngalor', 'ngidul', 'kabur']"
116,sadness,"['konten', 'ask', 'fm', 'seruan', 'teman', 'berbau', 'seks', 'jawabin', 'normal', 'mention', 'sedih']"
117,anger,"['jujur', 'kadang', 'kesal', 'ko', 'cinta', 'segitunya', 'sungguh', 'benar-benar', 'kalah', 'sumpah']"
118,fear,"['sedeket', 'gila', 'takut', 'tuh', 'teman', 'dengar', 'bilang', 'gede', 'pahanya', 'yalord', 'aing', 'teh', 'piknik', 'naha', 'geginian', 'nelpon', 'teman', 'pakai', 'bicara', 'seakan', 'suruh', 'jemput']"
119,love,"['sayang', 'sisi', 'sentiasa', 'doa', 'semoga', 'teguh', 'jagaan']"
120,sadness,"['waktu', 'berputar', 'tlah', 'menikmati', 'detik', 'menghargai', 'waktu', 'tuhan']"
121,anger,"['mah', 'membiarkan', 'merasakan', 'enaknya', 'biarkan']"
122,love,"['beda', 'ngenalin', 'nunjukin', 'disosmed', 'ngajarin', 'cinta', 'alam', 'move', 'on', 'ampe', 'he', 'the', 'one']"
123,fear,"['saking', 'mikir', 'pikiran', 'takut', 'sakit', 'hati', 'in', 'the', 'end', 'menyakiti']"
124,anger,"['hati', 'hati', 'belanja',  , 'barang', 'dikirim', 'uang']"
125,happy,"['cinta', 'this', 'pic', 'terima', 'kasih', 'waktu', 'indah', 'note', 'abaikan', 'muka', 'kaya', 'babu', 'pantai', 'legon', 'prima', 'anyer']"
126,happy,"['selamat', 'ulang', 'tahun', 'himasifo', 'mendoakan', 'terbaik', 'mu', 'semoga', 'manfaat', 'jurusan', 'almamater', 'bangsa', 'terimakasih', 'mas', 'hilman', 'mengajak', 'ku', 'team', 'mu']"
127,anger,"['mikir', 'besok', 'pemimpinmu', 'mikir', 'sahur', 'makan', 'berharap', 'takjil', 'saur', 'on', 'the', 'road', 'fix', 'koar', 'koar', 'deh', 'gonta', 'ganti', 'pemimpin', 'xixixi']"
128,happy,"['kain', 'batik', 'asli', 'indonesia', 'pahat', 'kayu', 'bikin', 'bangku', 'asik', 'hati', 'bahagia', 'liat', 'ayu', 'rianna_', 'penguasa', 'hatiku',  ,  ]"
129,happy,"['happy', 'birthday', 'to', 'us',  , 'and', 'happy', 'th', 'anniv', 'wkwkwk', 'bentar', 'putus', 'huhu', 'cari', 'pacar']"
130,fear,"[ , 'seram', 'baca', 'replyannya', 'daftarnya', 'tekkim', 'suka', 'kimia', 'lolos', 'untung', 'nyasar', 'farmasi', 'fisikanya']"
131,fear,"['kadang', 'takut', 'takut', 'memperoleh', 'ingini', 'takut', 'kehilangan', 'takut', 'berubah', 'sekelip']"
132,fear,"['ngeri', 'bacanya', 'ibuku', 'bilang', 'efeknya', 'tuh', 'mending']"
133,sadness,"['jalan', 'bagusan', 'kasi', 'alat', 'musik', 'kawan', 'kawan', 'berbeda', 'servernya', 'teman', 'teman', 'servernya', 'terjerumus', 'hancurkan']"
134,happy,"['menikmati', 'denyut', 'jantungku', 'merasakan', 'hirup', 'nafas', 'perlahan', 'sadar', 'membuka', 'menutup', 'rasakan', 'nikmati', 'renungkan', 'menutup', 'menghelai', 'nafas', 'tersenyum', 'tubuh', 'seakan', 'melayang', 'lepas', 'nikmat']"
135,fear,"['harap', 'diperjelas', 'ketua',  , 'masyarakat', 'paham', 'kriteria', 'gratifikasi', 'lebaran', 'dilarang', 'dimasyarakatkan', 'kriteria']"
136,fear,"['rasakan', 'alami', 'disana', 'tertekan', 'tertekan', 'disana', 'malu', 'takut', 'bodoh']"
137,anger,"['mahar', 'urusan', 'partai', 'bawa', 'islam', 'islam', 'agama', 'indah', 'cinta', 'damai', 'partai', 'cari', 'mahar']"
138,anger,"[ ,  , 'mengakui', 'jaringan', 'lemah', 'tolong', 'perkuat', 'harga', 'kuota', 'giga', 'rp', 'sebanding', 'kualitas', 'sinyalnya', 'perkuat', 'daerah', 'sariwates', 'kiaracondong', 'kota', 'bandung', 'cc',  ]"
139,sadness,"['bumi', 'menangis', 'keegoisan', 'mengeksplorasi', 'kekayaan', 'alam', 'dimiliki', 'serakah', 'bertanggung', 'selamat', 'lingkungan', 'hidup', 'sedunia',  ]"
140,anger,"['dear',  , 'sistem', 'mendeteksi', 'memperbaharui', 'perubahan', 'harga', 'ongkir', 'taun', 'nombok', 'kirim', 'paket', 'gara', 'ongkir', 'sesuai']"
141,love,"['purnama', 'pasangan', 'membenci', 'mencintai', 'purnama', 'bersinar', 'bawahnya', 'pasangan', 'sejati', 'pasangan', 'tersohor', 'sealam', 'jagad', 'raya']"
142,love,"['haechan', 'sayang', 'sayangku', 'kebagi', 'pribadi', 'tenang', 'sayangku', 'sukaku', 'kompre']"
143,happy,"['senyum', 'baca', 'ngalamain', 'rata', 'twit', 'haha', 'kaya', 'suruh', 'beli', 'minyak', 'tanah', 'warung', 'dirigenya', 'ditendang', 'pakai', 'dengkul', 'kaki']"
144,love,"['tuh', 'suka', 'namjoon', 'cakap', 'personality', 'talent', 'jatuh', 'cinta', 'namjoon', 'coba', 'tonton', 'solo', 'vlive', 'pakai', 'pajama', 'ryan', 'jatuh', 'cinta']"
145,happy,"['happy', 'anniversary', 'nd', 'semoga', 'allah', 'swt', 'senantiasa', 'melindungi', 'menjaga', 'menempuh', 'langkah', 'kehidupan', 'lekas', 'kepercayaan', 'tuk']"
146,fear,"['baca', 'takut', 'pakaianku', 'sehari', 'syari', 'kerudung', 'menutup', 'dada', 'pakai', 'rok']"
147,sadness,"['sedih', 'ig', 'banya', 'hate', 'comment', 'via', 'vallen', 'merasakan', 'sakitnya', 'sexual', 'harasmen', 'even', 'kontak', 'fisik', 'membayangkan', 'dinilai', 'segitu', 'rendahnya', 'ngaplok', 'orangnya', 'to', 'be', 'true']"
148,anger,"[ , 'gila', 'perempuan', 'pikirannya', 'nyinyirin', 'korban', 'sexual', 'harment', 'berani', 'speak', 'up', 'bunuh']"
149,love,"['maghrib', 'shalat', 'ku', 'namamu', 'do', 'ku', 'bersungguh', 'sungguh', 'memohon', 'kesembuhan', 'kesehatanmu', 'kebahagiaanmu', 'sayang',  ]"
150,love,"['mama', 'sumber', 'kasih', 'sayang', 'mengasuh', 'batas', 'mamahlah', 'berjaga', 'terjaga', 'dikala', 'malam', 'menemani', 'mengajarkan', 'berjuang']"
